2017micen_0,District Chairman's Award,frc2832,
2017micen_1,District Event Winner,frc469,
2017micen_1,District Event Winner,frc2832,
2017micen_1,District Event Winner,frc4811,
2017micen_10,Rookie All Star Award,frc6425,
2017micen_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc201,
2017micen_13,Judges' Award,frc5756,
2017micen_14,Highest Rookie Seed,frc6633,
2017micen_15,Rookie Inspiration Award sponsored by National Instruments,frc6566,
2017micen_16,Industrial Design Award sponsored by General Motors,frc6108,
2017micen_17,Quality Award sponsored by Motorola Solutions Foundation,frc1188,
2017micen_18,Safety Award sponsored by Underwriters Laboratories,frc1189,
2017micen_2,District Event Finalist,frc5915,
2017micen_2,District Event Finalist,frc6425,
2017micen_2,District Event Finalist,frc2673,
2017micen_20,Creativity Award sponsored by Xerox,frc3175,
2017micen_21,Excellence in Engineering Award sponsored by Delphi,frc469,
2017micen_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc123,
2017micen_27,Imagery Award in honor of Jack Kamen,frc818,
2017micen_29,Innovation in Control Award sponsored by Rockwell Automation,frc201,
2017micen_30,Team Spirit Award sponsored by FCA Foundation,frc2048,
2017micen_9,District Engineering Inspiration Award,frc5915,
