Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,1322,1.6599999999999999,2198.0,320.0,1220.0,800.0,13.0,9-1-2,12
2,245,1.5800000000000001,2340.0,517.0,1360.0,700.0,15.0,9-2-1,12
3,4970,1.5,2552.0,583.0,1220.0,950.0,7.0,9-3-0,12
4,894,1.5,2429.0,523.0,1240.0,950.0,9.0,9-3-0,12
5,6075,1.5,2336.0,538.0,1160.0,900.0,26.0,9-3-0,12
6,4391,1.4099999999999999,2380.0,573.0,1380.0,750.0,5.0,8-3-1,12
7,4392,1.4099999999999999,2000.0,217.0,1180.0,500.0,5.0,8-3-1,12
8,3602,1.3300000000000001,2238.0,322.0,1140.0,850.0,3.0,7-3-2,12
9,5072,1.3300000000000001,2017.0,381.0,1240.0,550.0,2.0,8-3-0,12
10,857,1.3300000000000001,1976.0,570.0,1220.0,350.0,1.0,8-4-0,12
11,1596,1.25,2297.0,452.0,1260.0,800.0,2.0,7-4-1,12
12,2586,1.25,1981.0,350.0,1100.0,700.0,11.0,7-4-1,12
13,6088,1.1599999999999999,1817.0,322.0,1060.0,500.0,2.0,6-4-2,12
14,5989,1.1599999999999999,1770.0,342.0,1140.0,400.0,15.0,7-5-0,12
15,6637,1.0800000000000001,2043.0,402.0,1120.0,750.0,3.0,6-5-1,12
16,6558,1.0,2217.0,392.0,1200.0,800.0,2.0,6-6-0,12
17,5702,1.0,1901.0,351.0,1140.0,500.0,6.0,6-6-0,12
18,5213,1.0,1865.0,353.0,1100.0,550.0,5.0,6-6-0,12
19,5175,1.0,1852.0,342.0,1100.0,550.0,12.0,6-6-0,12
20,3767,0.91000000000000003,2268.0,447.0,1260.0,800.0,3.0,4-5-3,12
21,6569,0.91000000000000003,1972.0,410.0,1080.0,600.0,2.0,5-6-1,12
22,4375,0.91000000000000003,1780.0,350.0,1180.0,400.0,0.0,5-6-1,12
23,6113,0.91000000000000003,1547.0,287.0,960.0,400.0,7.0,5-6-1,12
24,5547,0.82999999999999996,1975.0,285.0,1080.0,600.0,0.0,5-7-0,12
25,5486,0.82999999999999996,1679.0,126.0,960.0,550.0,9.0,4-6-2,12
26,5878,0.82999999999999996,1642.0,335.0,1180.0,250.0,2.0,4-6-2,12
27,4827,0.82999999999999996,1587.0,347.0,1020.0,350.0,2.0,4-6-2,12
28,5714,0.75,1789.0,306.0,1100.0,500.0,4.0,4-7-1,12
29,904,0.75,1622.0,395.0,880.0,550.0,7.0,4-7-1,12
30,4715,0.75,1542.0,226.0,1020.0,300.0,7.0,4-7-1,12
31,6557,0.66000000000000003,1818.0,402.0,1040.0,550.0,8.0,4-8-0,12
32,6581,0.66000000000000003,1715.0,327.0,1020.0,400.0,5.0,4-8-0,12
33,4835,0.66000000000000003,1543.0,187.0,940.0,450.0,3.0,4-7-0,12
34,6345,0.57999999999999996,1852.0,332.0,1020.0,550.0,2.0,3-8-1,12
35,5706,0.57999999999999996,1650.0,287.0,1060.0,450.0,5.0,3-8-1,12
36,6079,0.57999999999999996,1184.0,210.0,700.0,300.0,4.0,3-7-1,12
37,4988,0.5,1582.0,255.0,960.0,400.0,2.0,3-9-0,12
38,3617,0.5,1458.0,277.0,920.0,350.0,3.0,3-9-0,12
39,6112,0.33000000000000002,1388.0,187.0,940.0,250.0,3.0,2-10-0,12
