Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,3656,1.5800000000000001,3001.0,655.0,1520.0,1250.0,6.0,9-3-0,12
2,5194,1.5,2839.0,660.0,1520.0,1100.0,4.0,9-3-0,12
3,4237,1.4099999999999999,2877.0,826.0,1540.0,1050.0,12.0,8-4-0,12
4,1940,1.3300000000000001,2942.0,535.0,1400.0,1300.0,2.0,8-4-0,12
5,4327,1.3300000000000001,2817.0,661.0,1440.0,1150.0,12.0,8-4-0,12
6,5462,1.3300000000000001,2770.0,655.0,1400.0,1150.0,5.0,8-4-0,12
7,2834,1.3300000000000001,2729.0,590.0,1380.0,1150.0,4.0,8-4-0,12
8,4381,1.3300000000000001,2707.0,765.0,1440.0,1000.0,2.0,8-4-0,12
9,5710,1.3300000000000001,2590.0,590.0,1460.0,900.0,0.0,8-4-0,12
10,2959,1.3300000000000001,2560.0,655.0,1320.0,1050.0,5.0,7-4-1,12
11,5623,1.25,2646.0,595.0,1460.0,950.0,6.0,7-5-0,12
12,5675,1.25,2378.0,440.0,1260.0,900.0,3.0,7-3-0,12
13,1504,1.1599999999999999,2937.0,705.0,1540.0,1150.0,2.0,7-5-0,12
14,5674,1.1599999999999999,2787.0,470.0,1340.0,1250.0,7.0,7-5-0,12
15,5227,1.1599999999999999,2722.0,410.0,1200.0,1300.0,27.0,7-5-0,12
16,5501,1.1599999999999999,2714.0,595.0,1500.0,950.0,4.0,7-5-0,12
17,6119,1.1599999999999999,2511.0,335.0,1300.0,1000.0,1.0,7-4-0,12
18,6568,1.1599999999999999,2337.0,655.0,1320.0,800.0,2.0,7-5-0,12
19,5248,1.0800000000000001,2893.0,710.0,1500.0,1200.0,3.0,6-5-1,12
20,1254,1.0,2591.0,755.0,1400.0,950.0,1.0,6-6-0,12
21,4453,1.0,2442.0,410.0,1280.0,900.0,2.0,6-6-0,12
22,4408,1.0,2363.0,395.0,1280.0,800.0,3.0,6-6-0,12
23,6043,1.0,2280.0,520.0,1240.0,850.0,0.0,6-5-0,12
24,6588,0.91000000000000003,2205.0,405.0,1360.0,650.0,0.0,5-6-1,12
25,5182,0.82999999999999996,2678.0,600.0,1340.0,1050.0,3.0,5-7-0,12
26,5535,0.82999999999999996,2643.0,355.0,1260.0,1100.0,3.0,5-7-0,12
27,5204,0.82999999999999996,2522.0,535.0,1400.0,850.0,2.0,5-7-0,12
28,910,0.82999999999999996,2500.0,596.0,1220.0,1050.0,15.0,5-7-0,12
29,6138,0.82999999999999996,2444.0,525.0,1360.0,900.0,4.0,5-7-0,12
30,3658,0.82999999999999996,2314.0,645.0,1400.0,700.0,4.0,5-7-0,12
31,6011,0.82999999999999996,2191.0,415.0,1400.0,600.0,1.0,5-7-0,12
32,5161,0.82999999999999996,2160.0,515.0,1320.0,650.0,0.0,4-7-1,12
33,4956,0.82999999999999996,2017.0,400.0,1040.0,750.0,2.0,5-6-0,12
34,6580,0.75,2111.0,415.0,1320.0,550.0,1.0,4-7-1,12
35,1677,0.66000000000000003,2200.0,355.0,1180.0,750.0,5.0,4-8-0,12
36,5685,0.5,2327.0,535.0,1280.0,800.0,2.0,3-9-0,12
37,6002,0.5,2305.0,525.0,1200.0,850.0,5.0,3-8-0,12
38,6589,0.40999999999999998,2161.0,470.0,1420.0,450.0,1.0,2-9-1,12
39,858,0.33000000000000002,1988.0,445.0,1060.0,750.0,3.0,2-9-0,12
40,6094,0.16,1821.0,340.0,1140.0,450.0,1.0,1-11-0,12
