Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,4967,2.41,3356.0,688.0,1340.0,1300.0,466.0,10-2-0,12
2,3357,1.66,3231.0,650.0,1540.0,1300.0,166.0,9-3-0,12
3,858,1.58,3235.0,854.0,1540.0,1400.0,75.0,9-3-0,12
4,2767,1.58,3161.0,702.0,1360.0,1050.0,471.0,5-7-0,12
5,6090,1.5,3295.0,876.0,1620.0,1250.0,100.0,8-4-0,12
6,904,1.5,3105.0,760.0,1580.0,1100.0,110.0,8-4-0,12
7,2054,1.41,3347.0,929.0,1640.0,1350.0,62.0,8-4-0,12
8,4409,1.41,3126.0,692.0,1480.0,1300.0,61.0,8-4-0,12
9,6114,1.41,2806.0,481.0,1260.0,1150.0,41.0,8-4-0,12
10,5256,1.33,3212.0,760.0,1540.0,1350.0,112.0,7-5-0,12
11,141,1.33,3163.0,818.0,1520.0,1300.0,78.0,7-5-0,12
12,216,1.33,3138.0,669.0,1520.0,1350.0,38.0,8-4-0,12
13,288,1.33,2908.0,727.0,1460.0,1150.0,8.0,8-4-0,12
14,1677,1.33,2846.0,630.0,1420.0,1100.0,61.0,8-4-0,12
15,3234,1.33,2788.0,631.0,1500.0,1000.0,93.0,8-4-0,12
16,4004,1.25,3259.0,744.0,1540.0,1250.0,64.0,7-5-0,12
17,244,1.25,3141.0,698.0,1480.0,1250.0,81.0,7-5-0,12
18,5056,1.25,2955.0,546.0,1400.0,1200.0,55.0,7-5-0,12
19,4855,1.25,2799.0,540.0,1280.0,1200.0,79.0,7-5-0,12
20,3458,1.16,3098.0,556.0,1480.0,1000.0,38.0,7-5-0,12
21,5066,1.16,3006.0,626.0,1540.0,1000.0,51.0,6-6-0,12
22,6638,1.16,2811.0,651.0,1320.0,1050.0,6.0,7-5-0,12
23,6531,1.16,2770.0,501.0,1420.0,1000.0,85.0,6-6-0,12
24,6089,1.16,2532.0,447.0,1280.0,950.0,117.0,6-6-0,12
25,3875,1.08,3212.0,858.0,1540.0,1300.0,47.0,6-6-0,12
26,6065,1.08,2840.0,597.0,1420.0,1100.0,50.0,6-6-0,12
27,4482,1.08,2838.0,607.0,1420.0,1150.0,78.0,6-6-0,12
28,1243,0.91,3016.0,504.0,1420.0,1150.0,56.0,5-7-0,12
29,5963,0.75,2563.0,696.0,1400.0,850.0,93.0,4-8-0,12
30,2771,0.66,2674.0,799.0,1560.0,900.0,29.0,4-8-0,12
31,5069,0.66,2557.0,616.0,1340.0,950.0,27.0,4-8-0,12
32,5470,0.66,2520.0,575.0,1380.0,800.0,0.0,4-8-0,12
33,4337,0.66,2422.0,492.0,1340.0,750.0,92.0,3-9-0,12
34,5473,0.58,2085.0,526.0,1280.0,550.0,50.0,3-9-0,12
35,6571,0.5,2558.0,672.0,1400.0,800.0,88.0,2-10-0,12
36,6600,0.5,2133.0,536.0,1240.0,700.0,13.0,3-9-0,12
37,6428,0.41,1995.0,342.0,1060.0,700.0,65.0,2-9-0,12
38,5664,0.33,2440.0,540.0,1280.0,850.0,10.0,2-10-0,12
39,6534,0.25,2112.0,486.0,1260.0,600.0,42.0,1-11-0,12
