Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,3620,1.6599999999999999,2833.0,585.0,1580.0,950.0,18.0,9-3-0,12
2,5173,1.6599999999999999,2737.0,468.0,1460.0,1050.0,12.0,10-2-0,12
3,4325,1.5800000000000001,2781.0,710.0,1500.0,900.0,36.0,9-3-0,12
4,3546,1.5,3000.0,687.0,1660.0,1050.0,5.0,8-4-0,12
5,4003,1.5,2979.0,768.0,1520.0,1150.0,9.0,9-3-0,12
6,2054,1.5,2940.0,569.0,1540.0,1050.0,20.0,9-3-0,12
7,5927,1.4099999999999999,3249.0,619.0,1600.0,1300.0,9.0,8-4-0,12
8,5675,1.3300000000000001,3099.0,575.0,1580.0,1250.0,14.0,7-5-0,12
9,141,1.3300000000000001,2964.0,548.0,1440.0,1150.0,44.0,8-4-0,12
10,1918,1.25,3201.0,553.0,1580.0,1200.0,31.0,7-5-0,12
11,85,1.25,3022.0,653.0,1520.0,1100.0,27.0,7-5-0,12
12,74,1.1599999999999999,2860.0,445.0,1460.0,1100.0,15.0,7-5-0,12
13,5610,1.1599999999999999,2751.0,584.0,1460.0,950.0,16.0,7-5-0,12
14,5448,1.1599999999999999,2478.0,575.0,1340.0,900.0,3.0,7-5-0,12
15,5622,1.1599999999999999,2471.0,525.0,1320.0,800.0,16.0,7-5-0,12
16,5162,1.1599999999999999,2438.0,580.0,1380.0,850.0,13.0,7-5-0,12
17,6094,1.1599999999999999,2416.0,516.0,1360.0,800.0,6.0,7-5-0,12
18,5470,1.1599999999999999,1783.0,353.0,1120.0,550.0,3.0,7-5-0,12
19,107,1.0800000000000001,2781.0,769.0,1600.0,850.0,11.0,6-6-0,12
20,3572,1.0800000000000001,2668.0,512.0,1480.0,950.0,3.0,6-6-0,12
21,4004,1.0,2835.0,437.0,1460.0,1100.0,15.0,6-6-0,12
22,6561,1.0,2654.0,423.0,1380.0,1050.0,9.0,6-6-0,12
23,5316,1.0,2646.0,522.0,1440.0,1000.0,11.0,6-6-0,12
24,6599,1.0,2228.0,470.0,1340.0,650.0,8.0,6-6-0,12
25,6128,1.0,2133.0,515.0,1280.0,500.0,8.0,6-6-0,12
26,5980,0.91000000000000003,2627.0,755.0,1520.0,800.0,17.0,5-7-0,12
27,5255,0.91000000000000003,2046.0,535.0,1260.0,600.0,6.0,5-7-0,12
28,2405,0.82999999999999996,2792.0,596.0,1500.0,850.0,12.0,5-7-0,12
29,6065,0.82999999999999996,2360.0,455.0,1220.0,850.0,0.0,5-7-0,12
30,322,0.82999999999999996,2292.0,571.0,1300.0,750.0,17.0,5-7-0,12
31,5473,0.82999999999999996,2276.0,495.0,1360.0,750.0,1.0,5-7-0,12
32,6627,0.82999999999999996,2198.0,515.0,1280.0,750.0,8.0,5-7-0,12
33,6531,0.75,2106.0,456.0,1340.0,500.0,6.0,4-8-0,12
34,4337,0.66000000000000003,2437.0,467.0,1300.0,850.0,12.0,4-8-0,12
35,6100,0.66000000000000003,2225.0,513.0,1280.0,600.0,15.0,4-8-0,12
36,6114,0.66000000000000003,1996.0,461.0,1200.0,600.0,6.0,4-8-0,12
37,3458,0.66000000000000003,1860.0,320.0,1260.0,400.0,5.0,4-8-0,12
38,6428,0.5,1960.0,380.0,1120.0,700.0,0.0,3-9-0,12
39,6534,0.33000000000000002,2005.0,510.0,1180.0,650.0,5.0,2-8-0,12
40,5963,0.33000000000000002,1787.0,321.0,980.0,600.0,12.0,2-10-0,12
41,5664,0.16,1952.0,415.0,1260.0,550.0,2.0,1-11-0,12
