Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,2500,2.12,2111.0,354.0,920.0,900.0,11.0,8-0-0,8
2,5172,2.0,2348.0,491.0,1080.0,900.0,123.0,7-1-0,8
3,4536,2.0,2301.0,465.0,1160.0,1000.0,1.0,6-1-1,8
4,4198,1.87,2071.0,285.0,980.0,900.0,11.0,7-1-0,8
5,6709,1.87,1767.0,180.0,740.0,800.0,2.0,7-0-1,8
6,5434,1.75,2023.0,416.0,860.0,900.0,13.0,7-1-0,8
7,3871,1.75,1985.0,431.0,980.0,750.0,60.0,6-1-1,8
8,3184,1.62,1922.0,367.0,960.0,750.0,32.0,6-2-0,8
9,3023,1.62,1898.0,471.0,920.0,850.0,8.0,6-2-0,8
10,2052,1.5,2004.0,428.0,980.0,850.0,59.0,6-2-0,8
11,3630,1.5,1908.0,155.0,940.0,800.0,13.0,5-2-1,8
12,3407,1.5,1906.0,355.0,880.0,750.0,11.0,6-2-0,8
13,3082,1.5,1824.0,607.0,1040.0,650.0,9.0,6-2-0,8
14,2518,1.5,1723.0,281.0,860.0,750.0,3.0,6-2-0,8
15,2846,1.37,1871.0,476.0,1080.0,650.0,21.0,5-3-0,8
16,2509,1.25,1985.0,408.0,940.0,850.0,5.0,5-3-0,8
17,2879,1.25,1905.0,346.0,960.0,800.0,10.0,5-3-0,8
18,3751,1.25,1813.0,293.0,900.0,700.0,33.0,5-3-0,8
19,2823,1.12,1880.0,474.0,780.0,800.0,135.0,4-4-0,8
20,3007,1.12,1868.0,358.0,1000.0,700.0,3.0,4-3-1,8
21,2181,1.12,1761.0,221.0,960.0,650.0,1.0,4-3-1,8
22,2239,1.12,1736.0,420.0,860.0,750.0,6.0,4-3-1,8
23,3026,1.12,1664.0,294.0,820.0,700.0,14.0,4-4-0,8
24,3839,1.0,1965.0,218.0,800.0,1000.0,5.0,4-4-0,8
25,3299,1.0,1896.0,305.0,980.0,750.0,11.0,4-4-0,8
26,3081,1.0,1736.0,350.0,1000.0,600.0,1.0,4-4-0,8
27,2502,1.0,1716.0,418.0,980.0,450.0,21.0,4-4-0,8
28,6424,1.0,1705.0,405.0,900.0,650.0,0.0,4-4-0,8
29,2855,1.0,1661.0,399.0,900.0,650.0,6.0,4-4-0,8
30,3038,1.0,1559.0,353.0,840.0,550.0,4.0,4-4-0,8
31,2532,1.0,1511.0,335.0,800.0,550.0,51.0,4-4-0,8
32,4664,1.0,1457.0,224.0,800.0,500.0,17.0,4-4-0,8
33,2529,1.0,1420.0,400.0,860.0,400.0,0.0,4-4-0,8
34,3278,0.87,1728.0,401.0,900.0,700.0,3.0,3-4-1,8
35,2513,0.87,1696.0,246.0,880.0,650.0,11.0,3-4-1,8
36,3244,0.87,1590.0,353.0,800.0,600.0,5.0,3-4-1,8
37,3454,0.87,1586.0,165.0,820.0,550.0,6.0,3-4-1,8
38,2545,0.87,1327.0,425.0,820.0,350.0,47.0,3-5-0,8
39,4207,0.75,1852.0,426.0,940.0,750.0,17.0,3-5-0,8
40,5271,0.75,1735.0,300.0,940.0,650.0,0.0,3-5-0,8
41,1816,0.75,1721.0,287.0,780.0,750.0,6.0,3-5-0,8
42,2511,0.75,1713.0,187.0,820.0,700.0,28.0,3-5-0,8
43,2508,0.75,1660.0,405.0,900.0,600.0,0.0,3-5-0,8
44,2232,0.75,1628.0,482.0,920.0,500.0,18.0,3-5-0,8
45,3058,0.75,1626.0,296.0,860.0,650.0,11.0,3-5-0,8
46,6175,0.75,1595.0,281.0,820.0,600.0,15.0,3-5-0,8
47,3745,0.75,1590.0,350.0,880.0,600.0,0.0,3-5-0,8
48,2498,0.75,1579.0,405.0,860.0,500.0,9.0,3-5-0,8
49,2515,0.75,1488.0,278.0,660.0,650.0,3.0,3-5-0,8
50,4549,0.75,1411.0,237.0,760.0,500.0,16.0,3-5-0,8
51,5996,0.75,1395.0,324.0,800.0,450.0,15.0,3-5-0,8
52,4607,0.75,1328.0,422.0,780.0,400.0,53.0,3-5-0,8
53,3202,0.75,1309.0,175.0,820.0,350.0,29.0,3-5-0,8
54,3300,0.5,1439.0,180.0,740.0,450.0,4.0,2-6-0,8
55,2825,0.5,1410.0,350.0,800.0,500.0,0.0,2-6-0,8
56,2847,0.5,1334.0,414.0,820.0,350.0,4.0,2-6-0,8
57,5637,0.5,1310.0,275.0,780.0,400.0,0.0,2-6-0,8
58,6176,0.5,1264.0,250.0,740.0,400.0,9.0,2-6-0,8
59,2480,0.5,1171.0,273.0,660.0,400.0,16.0,2-6-0,8
60,6147,0.5,1111.0,340.0,680.0,300.0,1.0,2-6-0,8
61,4229,0.37,1322.0,280.0,820.0,350.0,2.0,1-6-1,8
62,2470,0.25,1271.0,266.0,700.0,400.0,11.0,1-7-0,8
63,3100,0.25,1160.0,136.0,700.0,300.0,5.0,1-7-0,8
