2017mnmi2_0,Regional Chairman's Award,frc3928,
2017mnmi2_1,Regional Winners,frc3130,
2017mnmi2_1,Regional Winners,frc1710,
2017mnmi2_1,Regional Winners,frc3277,
2017mnmi2_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc1806,
2017mnmi2_13,Judges' Award,frc1710,
2017mnmi2_14,Highest Rookie Seed,frc6749,
2017mnmi2_15,Rookie Inspiration Award sponsored by National Instruments,frc6749,
2017mnmi2_16,Industrial Design Award sponsored by General Motors,frc3277,
2017mnmi2_17,Quality Award sponsored by Motorola Solutions Foundation,frc3130,
2017mnmi2_18,Safety Award sponsored by Underwriters Laboratories,frc1710,
2017mnmi2_2,Regional Finalists,frc5464,
2017mnmi2_2,Regional Finalists,frc2491,
2017mnmi2_2,Regional Finalists,frc2574,
2017mnmi2_20,Creativity Award sponsored by Xerox,frc2175,
2017mnmi2_21,Excellence in Engineering Award sponsored by Delphi,frc3883,
2017mnmi2_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc2169,
2017mnmi2_27,Imagery Award in honor of Jack Kamen,frc2491,
2017mnmi2_29,Innovation in Control Award sponsored by Rockwell Automation,frc3197,
2017mnmi2_3,Woodie Flowers Finalist Award,frc5464,John Almos
2017mnmi2_30,Team Spirit Award sponsored by FCA Foundation,frc3633,
2017mnmi2_4,FIRST Dean's List Finalist Award,frc3130,Kate Sawyer
2017mnmi2_4,FIRST Dean's List Finalist Award,frc3883,Abby Wamsted
2017mnmi2_5,Volunteer of the Year,frc2177,Walt LaRoche
2017mnmi2_68,Wildcard,frc5464,
2017mnmi2_68,Wildcard,frc2491,
2017mnmi2_68,Wildcard,frc2574,
2017mnmi2_9,Regional Engineering Inspiration Award,frc2177,
