2017ncash_0,District Chairman's Award,frc3459,
2017ncash_1,District Event Winner,frc2974,
2017ncash_1,District Event Winner,frc5511,
2017ncash_1,District Event Winner,frc5679,
2017ncash_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc1533,
2017ncash_13,Judges' Award,frc2974,
2017ncash_14,Highest Rookie Seed,frc6334,
2017ncash_15,Rookie Inspiration Award sponsored by National Instruments,frc6639,
2017ncash_16,Industrial Design Award sponsored by General Motors,frc619,
2017ncash_17,Quality Award sponsored by Motorola Solutions Foundation,frc587,
2017ncash_18,Safety Award sponsored by Underwriters Laboratories,frc3506,
2017ncash_2,District Event Finalist,frc6334,
2017ncash_2,District Event Finalist,frc4935,
2017ncash_2,District Event Finalist,frc977,
2017ncash_20,Creativity Award sponsored by Xerox,frc5679,
2017ncash_21,Excellence in Engineering Award sponsored by Delphi,frc1225,
2017ncash_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc5511,
2017ncash_27,Imagery Award in honor of Jack Kamen,frc3506,
2017ncash_29,Innovation in Control Award sponsored by Rockwell Automation,frc6334,
2017ncash_30,Team Spirit Award sponsored by FCA Foundation,frc2655,
2017ncash_9,District Engineering Inspiration Award,frc5854,
