Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,6729,1.6200000000000001,1880,220,920,650,10,6-2-0,0,8
2,6004,1.5,1557,280,900,450,2,6-2-0,0,8
3,587,1.3700000000000001,1894,352,960,600,19,5-3-0,0,8
4,1533,1.25,1789,407,940,650,74,5-3-0,0,8
5,5544,1.25,1742,230,920,600,12,5-3-0,0,8
6,4561,1,1707,270,980,600,2,4-4-0,0,8
7,4290,1,1660,285,900,650,0,4-4-0,0,8
8,2655,1,1605,345,840,450,10,4-4-0,0,8
9,5190,0.87,1696,403,1020,500,21,3-5-0,0,8
10,4534,0.75,1610,405,980,450,0,3-5-0,0,8
11,6214,0.75,1589,252,940,500,19,3-5-0,0,8
12,5518,0.5,1610,345,880,600,0,2-6-0,0,8
13,4816,0.5,1236,203,800,250,31,2-6-0,0,8
