2017necmp_0,Regional Chairman's Award,frc3467,
2017necmp_0,Regional Chairman's Award,frc558,
2017necmp_0,Regional Chairman's Award,frc125,
2017necmp_0,Regional Chairman's Award,frc1071,
2017necmp_1,District Championship Winner,frc2168,
2017necmp_1,District Championship Winner,frc195,
2017necmp_1,District Championship Winner,frc1073,
2017necmp_10,District Championship Rookie All Star Award,frc6328,
2017necmp_10,District Championship Rookie All Star Award,frc6324,
2017necmp_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc2648,
2017necmp_13,Judges' Award,frc1721,
2017necmp_14,Highest Rookie Seed,frc6329,
2017necmp_15,Rookie Inspiration Award sponsored by National Instruments,frc6337,
2017necmp_16,Industrial Design Award sponsored by General Motors,frc1153,
2017necmp_17,Quality Award sponsored by Motorola Solutions Foundation,frc5687,
2017necmp_18,Safety Award sponsored by Underwriters Laboratories,frc4151,
2017necmp_2,District Championship Finalist,frc3719,
2017necmp_2,District Championship Finalist,frc1519,
2017necmp_2,District Championship Finalist,frc5813,
2017necmp_20,Creativity Award sponsored by Xerox,frc1058,
2017necmp_21,Excellence in Engineering Award sponsored by Delphi,frc2067,
2017necmp_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc2342,
2017necmp_27,Imagery Award in honor of Jack Kamen,frc4564,
2017necmp_29,Innovation in Control Award sponsored by Rockwell Automation,frc2168,
2017necmp_3,Woodie Flowers Finalist Award,frc175,Robert Atiyeh
2017necmp_30,Team Spirit Award sponsored by FCA Foundation,frc4151,
2017necmp_4,FIRST Dean's List Finalist Award,frc558,Selma Abouneameh
2017necmp_4,FIRST Dean's List Finalist Award,frc4905,Will Doyle
2017necmp_4,FIRST Dean's List Finalist Award,frc133,Christopher Hascall
2017necmp_4,FIRST Dean's List Finalist Award,frc155,Mathieu Letendre
2017necmp_4,FIRST Dean's List Finalist Award,frc467,Nial Mcinally
2017necmp_4,FIRST Dean's List Finalist Award,frc5459,Annabelle Platt
2017necmp_5,Volunteer of the Year,frc125,Kristine Atiyeh
2017necmp_9,Regional Engineering Inspiration Award,frc4905,
2017necmp_9,Regional Engineering Inspiration Award,frc5422,
