2017nhbed_0,District Chairman's Award,frc1735,
2017nhbed_1,District Event Winner,frc238,
2017nhbed_1,District Event Winner,frc1073,
2017nhbed_1,District Event Winner,frc6328,
2017nhbed_10,Rookie All Star Award,frc6690,
2017nhbed_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc1922,
2017nhbed_13,Judges' Award,frc2370,
2017nhbed_14,Highest Rookie Seed,frc6690,
2017nhbed_15,Rookie Inspiration Award sponsored by National Instruments,frc6328,
2017nhbed_16,Industrial Design Award sponsored by General Motors,frc1073,
2017nhbed_17,Quality Award sponsored by Motorola Solutions Foundation,frc131,
2017nhbed_18,Safety Award sponsored by Underwriters Laboratories,frc1073,
2017nhbed_2,District Event Finalist,frc1922,
2017nhbed_2,District Event Finalist,frc2370,
2017nhbed_2,District Event Finalist,frc716,
2017nhbed_20,Creativity Award sponsored by Xerox,frc5813,
2017nhbed_21,Excellence in Engineering Award sponsored by Delphi,frc501,
2017nhbed_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc2342,
2017nhbed_27,Imagery Award in honor of Jack Kamen,frc238,
2017nhbed_29,Innovation in Control Award sponsored by Rockwell Automation,frc1721,
2017nhbed_30,Team Spirit Award sponsored by FCA Foundation,frc5962,
2017nhbed_9,District Engineering Inspiration Award,frc4905,
