Rank,Team,Ranking Score,Match Points,Auto,Rotor,Takeoff,kPa,Record (W-L-T),DQ,Played
1,494,1.5,1862,399,1060,650,27,6-2-0,0,8
2,3357,1.5,1509,276,760,550,59,6-2-0,0,8
3,5086,1.25,1680,418,940,550,30,5-3-0,0,8
4,5114,1.25,1497,272,820,550,27,5-3-0,0,8
5,4956,1,1542,351,1000,400,17,4-4-0,0,8
6,5084,1,1449,171,660,650,14,4-4-0,0,8
7,70,1,1385,345,800,450,20,4-4-0,0,8
8,5256,1,1341,243,720,450,26,4-4-0,0,8
9,33,1,1298,314,840,300,23,4-4-0,0,8
10,5448,0.75,1622,301,820,650,27,3-5-0,0,8
11,5162,0.75,1415,193,760,550,15,3-5-0,0,8
12,3875,,1340,167,780,400,15,0-8-0,0,8
