2017okok_0,Regional Chairman's Award,frc3284,
2017okok_1,Regional Winners,frc6026,
2017okok_1,Regional Winners,frc1806,
2017okok_1,Regional Winners,frc932,
2017okok_10,Rookie All Star Award,frc6464,
2017okok_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc932,
2017okok_13,Judges' Award,frc3507,
2017okok_14,Highest Rookie Seed,frc6464,
2017okok_15,Rookie Inspiration Award sponsored by National Instruments,frc6462,
2017okok_16,Industrial Design Award sponsored by General Motors,frc5730,
2017okok_17,Quality Award sponsored by Motorola Solutions Foundation,frc3931,
2017okok_18,Safety Award sponsored by Underwriters Laboratories,frc932,
2017okok_2,Regional Finalists,frc3931,
2017okok_2,Regional Finalists,frc2359,
2017okok_2,Regional Finalists,frc4005,
2017okok_20,Creativity Award sponsored by Xerox,frc5013,
2017okok_21,Excellence in Engineering Award sponsored by Delphi,frc3160,
2017okok_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc31,
2017okok_27,Imagery Award in honor of Jack Kamen,frc1750,
2017okok_29,Innovation in Control Award sponsored by Rockwell Automation,frc1806,
2017okok_3,Woodie Flowers Finalist Award,frc2341,Roger Farris
2017okok_30,Team Spirit Award sponsored by FCA Foundation,frc3179,
2017okok_4,FIRST Dean's List Finalist Award,frc1209,Ben Hughes
2017okok_4,FIRST Dean's List Finalist Award,frc3160,Paul Paquin
2017okok_5,Volunteer of the Year,,Kerrie  Miller
2017okok_68,Wildcard,frc3931,
2017okok_9,Regional Engineering Inspiration Award,frc5437,
