Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,5024,1.8300000000000001,3080.0,585.0,1580.0,1150.0,0.0,10-2-0,12
2,6378,1.75,3073.0,777.0,1480.0,1200.0,23.0,10-1-1,12
3,190,1.5800000000000001,3003.0,761.0,1560.0,1100.0,18.0,9-3-0,12
4,4039,1.5,2948.0,779.0,1640.0,900.0,48.0,8-4-0,12
5,2200,1.3300000000000001,3037.0,908.0,1560.0,1050.0,57.0,8-4-0,12
6,6130,1.3300000000000001,2678.0,464.0,1260.0,1000.0,8.0,8-4-0,12
7,6347,1.25,2812.0,652.0,1560.0,1000.0,12.0,7-5-0,12
8,6110,1.25,2733.0,657.0,1440.0,1000.0,18.0,7-5-0,12
9,2935,1.25,2730.0,638.0,1600.0,850.0,5.0,7-5-0,12
10,5596,1.25,2598.0,468.0,1460.0,850.0,8.0,7-5-0,12
11,5033,1.1599999999999999,2795.0,590.0,1380.0,750.0,5.0,7-5-0,12
12,6052,1.1599999999999999,2539.0,460.0,1460.0,850.0,14.0,7-5-0,12
13,6461,1.1599999999999999,2355.0,519.0,1240.0,700.0,5.0,7-5-0,12
14,5039,1.0800000000000001,2798.0,659.0,1520.0,750.0,13.0,6-6-0,12
15,5032,1.0800000000000001,2437.0,451.0,1380.0,800.0,2.0,6-6-0,12
16,5288,1.0,2452.0,456.0,1260.0,900.0,12.0,6-6-0,12
17,5589,1.0,2381.0,454.0,1340.0,800.0,16.0,6-6-0,12
18,4814,1.0,2380.0,645.0,1400.0,650.0,5.0,6-6-0,12
19,5776,1.0,2279.0,337.0,1260.0,750.0,14.0,6-6-0,12
20,3571,1.0,2259.0,360.0,1240.0,700.0,4.0,6-6-0,12
21,6140,1.0,2225.0,405.0,1240.0,650.0,10.0,6-6-0,12
22,5821,0.91000000000000003,2400.0,655.0,1400.0,750.0,15.0,5-6-1,12
23,5483,0.91000000000000003,2358.0,338.0,1180.0,800.0,33.0,5-6-1,12
24,4308,0.91000000000000003,2335.0,369.0,1320.0,650.0,30.0,5-7-0,12
25,6070,0.82999999999999996,2396.0,530.0,1360.0,750.0,6.0,5-7-0,12
26,6725,0.82999999999999996,2338.0,397.0,1280.0,850.0,8.0,5-7-0,12
27,3756,0.82999999999999996,2299.0,534.0,1360.0,650.0,19.0,5-7-0,12
28,5870,0.82999999999999996,2138.0,271.0,1320.0,600.0,8.0,5-7-0,12
29,2198,0.75,2652.0,652.0,1360.0,850.0,2.0,4-7-1,12
30,4907,0.75,2141.0,448.0,1380.0,400.0,11.0,4-7-1,12
31,2852,0.66000000000000003,2480.0,537.0,1440.0,650.0,120.0,4-8-0,12
32,5409,0.66000000000000003,2333.0,515.0,1360.0,750.0,18.0,4-8-0,12
33,4943,0.5,1803.0,225.0,1080.0,600.0,3.0,3-9-0,12
34,6162,0.33000000000000002,1622.0,367.0,880.0,450.0,32.0,2-8-0,12
35,3739,0.25,2015.0,349.0,1100.0,550.0,10.0,1-10-1,12
