2017txda_0,Regional Chairman's Award,frc2468,
2017txda_1,Regional Winners,frc4206,
2017txda_1,Regional Winners,frc2468,
2017txda_1,Regional Winners,frc5417,
2017txda_10,Rookie All Star Award,frc6357,
2017txda_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc4192,
2017txda_13,Judges' Award,frc5417,
2017txda_14,Highest Rookie Seed,frc6672,
2017txda_15,Rookie Inspiration Award sponsored by National Instruments,frc6672,
2017txda_16,Industrial Design Award sponsored by General Motors,frc148,
2017txda_17,Quality Award sponsored by Motorola Solutions Foundation,frc1296,
2017txda_18,Safety Award sponsored by Underwriters Laboratories,frc1296,
2017txda_2,Regional Finalists,frc6133,
2017txda_2,Regional Finalists,frc148,
2017txda_2,Regional Finalists,frc1745,
2017txda_20,Creativity Award sponsored by Xerox,frc3931,
2017txda_21,Excellence in Engineering Award sponsored by Delphi,frc2848,
2017txda_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc3005,
2017txda_27,Imagery Award in honor of Jack Kamen,frc5431,
2017txda_29,Innovation in Control Award sponsored by Rockwell Automation,frc4641,
2017txda_3,Woodie Flowers Finalist Award,frc1296,Bruce Charbonneau
2017txda_30,Team Spirit Award sponsored by FCA Foundation,frc647,
2017txda_4,FIRST Dean's List Finalist Award,frc2723,Maddie Smith
2017txda_4,FIRST Dean's List Finalist Award,frc2468,Shrey Majmudar
2017txda_68,Wildcard,frc6133,
2017txda_68,Wildcard,frc1745,
2017txda_9,Regional Engineering Inspiration Award,frc2723,
