2017txwa_0,Regional Chairman's Award,frc418,
2017txwa_1,Regional Winners,frc2848,
2017txwa_1,Regional Winners,frc3310,
2017txwa_1,Regional Winners,frc6357,
2017txwa_10,Rookie All Star Award,frc6369,
2017txwa_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc1296,
2017txwa_13,Judges' Award,frc3802,
2017txwa_14,Highest Rookie Seed,frc6369,
2017txwa_15,Rookie Inspiration Award sponsored by National Instruments,frc6646,
2017txwa_16,Industrial Design Award sponsored by General Motors,frc3310,
2017txwa_17,Quality Award sponsored by Motorola Solutions Foundation,frc6237,
2017txwa_18,Safety Award sponsored by Underwriters Laboratories,frc3593,
2017txwa_2,Regional Finalists,frc704,
2017txwa_2,Regional Finalists,frc6133,
2017txwa_2,Regional Finalists,frc4219,
2017txwa_2,Regional Finalists,frc3743,
2017txwa_20,Creativity Award sponsored by Xerox,frc1817,
2017txwa_21,Excellence in Engineering Award sponsored by Delphi,frc2848,
2017txwa_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc5414,
2017txwa_27,Imagery Award in honor of Jack Kamen,frc3593,
2017txwa_29,Innovation in Control Award sponsored by Rockwell Automation,frc6171,
2017txwa_3,Woodie Flowers Finalist Award,frc2950,Tiffani Cortez
2017txwa_30,Team Spirit Award sponsored by FCA Foundation,frc5431,
2017txwa_4,FIRST Dean's List Finalist Award,frc2848,Anirudh Kentareddy
2017txwa_4,FIRST Dean's List Finalist Award,frc5431,Usaid Malik
2017txwa_5,Volunteer of the Year,,Will Phipps
2017txwa_68,Wildcard,frc704,
2017txwa_68,Wildcard,frc4219,
2017txwa_68,Wildcard,frc3743,
2017txwa_9,Regional Engineering Inspiration Award,frc5472,
