2018ausc_0,Regional Chairman's Award,frc6024,
2018ausc_1,Regional Winners,frc4253,
2018ausc_1,Regional Winners,frc4613,
2018ausc_1,Regional Winners,frc4802,
2018ausc_10,Rookie All Star Award,frc6996,
2018ausc_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc3132,
2018ausc_13,Judges' Award,frc4802,
2018ausc_14,Highest Rookie Seed,frc6836,
2018ausc_15,Rookie Inspiration Award sponsored by National Instruments,frc6836,
2018ausc_16,Industrial Design Award sponsored by General Motors,frc4613,
2018ausc_17,Quality Award sponsored by Motorola Solutions Foundation,frc4253,
2018ausc_18,Safety Award sponsored by Underwriters Laboratories,frc6024,
2018ausc_2,Regional Finalists,frc6508,
2018ausc_2,Regional Finalists,frc6996,
2018ausc_2,Regional Finalists,frc4774,
2018ausc_20,Creativity Award sponsored by Xerox,frc4774,
2018ausc_21,Excellence in Engineering Award sponsored by Delphi,frc6579,
2018ausc_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc5985,
2018ausc_27,Imagery Award in honor of Jack Kamen,frc7130,
2018ausc_29,Innovation in Control Award sponsored by Rockwell Automation,frc6508,
2018ausc_3,Woodie Flowers Finalist Award,frc6024,Nilesh Shaw
2018ausc_30,Team Spirit Award sponsored by FCA Foundation,frc6191,
2018ausc_4,FIRST Dean's List Finalist Award,frc6579,Jiah Pang
2018ausc_4,FIRST Dean's List Finalist Award,frc6996,Amber Kraczkowska
2018ausc_5,Volunteer of the Year,,Carl Svennson
2018ausc_68,Wildcard,frc6508,
2018ausc_9,Regional Engineering Inspiration Award,frc3008,
