Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,1577,3.16,840,401,3337,255,12-0-0,0,12
2,1574,3,790,438,3178,280,11-1-0,0,12
3,7095,2.25,380,297,2445,230,9-3-0,0,12
4,5883,2.16,480,319,2620,230,9-3-0,0,12
5,5522,2.08,445,337,2452,230,8-4-0,0,12
6,1772,2,570,246,2681,310,9-3-0,0,12
7,6494,1.83,425,337,2368,215,7-5-0,0,12
8,1477,1.75,355,330,2399,155,7-5-0,0,12
9,6360,1.66,370,229,2164,115,8-4-0,0,12
10,6706,1.58,410,280,2233,275,7-5-0,0,12
11,7047,1.58,290,272,2300,180,7-5-0,0,12
12,6990,1.5,575,295,2206,205,5-7-0,0,12
13,6997,1.5,365,246,2129,220,6-6-0,0,12
14,6940,1.5,330,277,2026,205,6-6-0,0,12
15,5451,1.41,375,273,2015,185,7-5-0,0,12
16,9100,1.41,370,346,2018,165,5-7-0,0,12
17,5453,1.41,355,219,1992,235,7-5-0,0,12
18,5516,1.41,350,252,2018,155,6-6-0,0,12
19,6304,1.41,335,225,2263,255,6-6-0,0,12
20,5308,1.33,410,245,2067,185,6-6-0,0,12
21,5449,1.33,350,249,1770,340,6-6-0,0,12
22,6353,1.16,345,232,1672,215,5-7-0,0,12
23,9093,1.16,305,247,1759,245,4-8-0,0,12
24,7006,1.08,525,215,1828,325,5-7-0,0,12
25,6386,1.08,435,194,1788,185,6-6-0,0,12
26,6394,1.08,400,200,2074,275,5-7-0,0,12
27,9094,1.08,350,243,1850,125,4-8-0,0,12
28,6771,1.08,320,259,2048,155,5-7-0,0,12
29,9059,1.08,260,146,1506,190,5-4-0,3,12
30,5823,1,295,201,1537,145,4-8-0,0,12
31,7238,1,290,199,1204,130,4-8-0,0,12
32,6986,0.91,440,232,1244,165,3-9-0,0,12
33,9047,0.83,395,261,1452,215,3-9-0,0,12
34,5849,0.75,180,211,1159,75,2-8-0,2,12
35,6356,0.66,200,194,1209,110,3-9-0,0,12
36,6399,0.5,235,135,1237,115,3-6-0,3,12
