2018gacmp_0,Regional Chairman's Award,frc2974,
2018gacmp_0,Regional Chairman's Award,frc1311,
2018gacmp_1,District Championship Winner,frc1102,
2018gacmp_1,District Championship Winner,frc1648,
2018gacmp_1,District Championship Winner,frc2415,
2018gacmp_10,District Championship Rookie All Star Award,frc6919,
2018gacmp_10,District Championship Rookie All Star Award,frc6887,
2018gacmp_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc1648,
2018gacmp_13,Judges' Award,frc2415,
2018gacmp_14,Highest Rookie Seed,frc6829,
2018gacmp_15,Rookie Inspiration Award sponsored by National Instruments,frc6829,
2018gacmp_16,Industrial Design Award sponsored by General Motors,frc1414,
2018gacmp_17,Quality Award sponsored by Motorola Solutions Foundation,frc4941,
2018gacmp_18,Safety Award sponsored by Underwriters Laboratories,frc6705,
2018gacmp_2,District Championship Finalist,frc4189,
2018gacmp_2,District Championship Finalist,frc4188,
2018gacmp_2,District Championship Finalist,frc4941,
2018gacmp_2,District Championship Finalist,frc6471,
2018gacmp_20,Creativity Award sponsored by Xerox,frc3581,
2018gacmp_21,Excellence in Engineering Award sponsored by Delphi,frc4189,
2018gacmp_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc4026,
2018gacmp_27,Imagery Award in honor of Jack Kamen,frc1746,
2018gacmp_29,Innovation in Control Award sponsored by Rockwell Automation,frc832,
2018gacmp_3,Woodie Flowers Finalist Award,frc2974,Debbie  Kauffman
2018gacmp_30,Team Spirit Award sponsored by FCA Foundation,frc4910,
2018gacmp_4,FIRST Dean's List Finalist Award,frc2974,Parth Parashar
2018gacmp_4,FIRST Dean's List Finalist Award,frc1261,Natalie Luong
2018gacmp_5,Volunteer of the Year,,Beth Culp
2018gacmp_9,Regional Engineering Inspiration Award,frc4468,
2018gacmp_9,Regional Engineering Inspiration Award,frc1002,
