2018ilch_0,Regional Chairman's Award,frc2905,
2018ilch_1,Regional Winners,frc16,
2018ilch_1,Regional Winners,frc2451,
2018ilch_1,Regional Winners,frc6823,
2018ilch_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc3061,
2018ilch_13,Judges' Award,frc2010,
2018ilch_14,Highest Rookie Seed,frc6803,
2018ilch_15,Rookie Inspiration Award sponsored by National Instruments,frc6823,
2018ilch_16,Industrial Design Award sponsored by General Motors,frc111,
2018ilch_17,Quality Award sponsored by Motorola Solutions Foundation,frc16,
2018ilch_18,Safety Award sponsored by Underwriters Laboratories,frc5847,
2018ilch_2,Regional Finalists,frc578,
2018ilch_2,Regional Finalists,frc1706,
2018ilch_2,Regional Finalists,frc5822,
2018ilch_20,Creativity Award sponsored by Xerox,frc2040,
2018ilch_21,Excellence in Engineering Award sponsored by Delphi,frc2451,
2018ilch_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc269,
2018ilch_27,Imagery Award in honor of Jack Kamen,frc1511,
2018ilch_29,Innovation in Control Award sponsored by Rockwell Automation,frc1706,
2018ilch_3,Woodie Flowers Finalist Award,frc1781,Nicholas Anaya
2018ilch_30,Team Spirit Award sponsored by FCA Foundation,frc2151,
2018ilch_4,FIRST Dean's List Finalist Award,frc5847,Drake Provost
2018ilch_4,FIRST Dean's List Finalist Award,frc111,Tillie Pasternak
2018ilch_5,Volunteer of the Year,,Andrew Ebert
2018ilch_68,Wildcard,frc5822,
2018ilch_9,Regional Engineering Inspiration Award,frc341,
