Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,3539,2.88,600,288,2461,335,9-0-0,0,9
2,1684,2.77,630,387,2387,300,7-2-0,0,9
3,5460,2.77,600,322,2433,280,8-1-0,0,9
4,2337,2.44,530,387,2557,305,7-2-0,0,9
5,5712,2.33,570,301,2192,265,6-3-0,0,9
6,3534,2.22,560,326,2139,330,6-3-0,0,9
7,1718,2.11,555,273,2085,250,7-2-0,0,9
8,4362,2.11,490,304,2107,315,6-3-0,0,9
9,68,1.88,540,267,1764,230,5-4-0,0,9
10,5234,1.88,530,341,1911,250,4-5-0,0,9
11,3535,1.77,600,282,1696,255,4-5-0,0,9
12,1188,1.77,520,305,1541,245,4-5-0,0,9
13,4130,1.66,435,274,1725,270,4-5-0,0,9
14,4961,1.55,575,305,1683,230,3-6-0,0,9
15,226,1.55,415,313,1893,310,4-5-0,0,9
16,548,1.55,405,255,1877,230,5-4-0,0,9
17,2832,1.44,565,236,1835,255,4-5-0,0,9
18,503,1.44,400,322,1707,170,4-5-0,0,9
19,6071,1.33,500,273,1578,185,3-6-0,0,9
20,6861,1.33,460,282,1654,235,3-6-0,0,9
21,5517,0.88,520,279,1493,230,1-8-0,0,9
22,5612,0.88,500,232,1638,305,2-7-0,0,9
23,6085,0.88,410,278,1137,195,0-9-0,0,9
24,818,0.77,360,200,1420,190,2-7-0,0,9
