2018miwmi_0,District Chairman's Award,frc4003,
2018miwmi_1,District Event Winner,frc85,
2018miwmi_1,District Event Winner,frc4003,
2018miwmi_1,District Event Winner,frc5927,
2018miwmi_10,Rookie All Star Award,frc7054,
2018miwmi_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc74,
2018miwmi_13,Judges' Award,frc2054,
2018miwmi_14,Highest Rookie Seed,frc7054,
2018miwmi_15,Rookie Inspiration Award sponsored by National Instruments,,
2018miwmi_16,Industrial Design Award sponsored by General Motors,frc85,
2018miwmi_17,Quality Award sponsored by Motorola Solutions Foundation,frc5980,
2018miwmi_18,Safety Award sponsored by Underwriters Laboratories,frc3546,
2018miwmi_2,District Event Finalist,frc5980,
2018miwmi_2,District Event Finalist,frc74,
2018miwmi_2,District Event Finalist,frc6548,
2018miwmi_20,Creativity Award sponsored by Xerox,frc6098,
2018miwmi_21,Excellence in Engineering Award sponsored by Delphi,frc3620,
2018miwmi_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc141,
2018miwmi_27,Imagery Award in honor of Jack Kamen,frc3098,
2018miwmi_29,Innovation in Control Award sponsored by Rockwell Automation,frc4004,
2018miwmi_30,Team Spirit Award sponsored by FCA Foundation,frc2405,
2018miwmi_9,District Engineering Inspiration Award,frc4956,
