2018nhdur_0,District Chairman's Award,frc5422,
2018nhdur_1,District Event Winner,frc319,
2018nhdur_1,District Event Winner,frc1519,
2018nhdur_1,District Event Winner,frc4555,
2018nhdur_10,Rookie All Star Award,frc7314,
2018nhdur_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc5506,
2018nhdur_13,Judges' Award,frc1071,
2018nhdur_14,Highest Rookie Seed,frc7314,
2018nhdur_15,Rookie Inspiration Award sponsored by National Instruments,frc6895,
2018nhdur_16,Industrial Design Award sponsored by General Motors,frc319,
2018nhdur_17,Quality Award sponsored by Motorola Solutions Foundation,frc509,
2018nhdur_18,Safety Award sponsored by Underwriters Laboratories,frc501,
2018nhdur_2,District Event Finalist,frc138,
2018nhdur_2,District Event Finalist,frc5813,
2018nhdur_2,District Event Finalist,frc5506,
2018nhdur_20,Creativity Award sponsored by Xerox,frc3597,
2018nhdur_21,Excellence in Engineering Award sponsored by Delphi,frc1519,
2018nhdur_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc501,
2018nhdur_27,Imagery Award in honor of Jack Kamen,frc1699,
2018nhdur_29,Innovation in Control Award sponsored by Rockwell Automation,frc1073,
2018nhdur_30,Team Spirit Award sponsored by FCA Foundation,frc5902,
2018nhdur_9,District Engineering Inspiration Award,frc166,
