Rank,Team,Ranking Score,End Game,Auto,Ownership,Vault,Record (W-L-T),DQ,Played
1,5813,3.2000000000000002,375,167,1186,140,5-0-0,0,5
2,319,2.7999999999999998,305,128,1208,140,4-1-0,0,5
3,5687,2.3999999999999999,295,179,1143,145,4-1-0,0,5
4,1729,2.3999999999999999,270,146,1183,145,4-1-0,0,5
5,2713,2.3999999999999999,200,161,1275,135,4-1-0,0,5
6,213,2,265,128,1190,115,4-1-0,0,5
7,3236,1.8,290,133,982,145,3-2-0,0,5
8,1922,1.8,235,129,1036,160,3-2-0,0,5
9,6328,1.8,225,189,1149,100,3-2-0,0,5
10,1721,1.6000000000000001,240,139,1144,160,3-2-0,0,5
11,3467,1.6000000000000001,235,114,889,170,2-3-0,0,5
12,1519,1.3999999999999999,235,202,1138,115,2-3-0,0,5
13,1058,1.3999999999999999,230,114,929,125,2-3-0,0,5
14,3623,1.3999999999999999,160,180,903,135,2-3-0,0,5
15,1289,1.2,265,130,906,200,2-3-0,0,5
16,1768,1.2,240,91,893,115,2-3-0,0,5
17,131,1.2,175,118,1013,160,2-3-0,0,5
18,166,1.2,170,110,803,140,2-3-0,0,5
19,5962,0.80000000000000004,165,129,684,70,1-3-0,1,5
20,1247,0.59999999999999998,235,95,868,80,1-4-0,0,5
21,885,0.59999999999999998,205,97,812,120,1-4-0,0,5
22,8687,0.59999999999999998,145,117,860,85,1-4-0,0,5
23,6762,0.40000000000000002,215,72,611,100,1-4-0,0,5
24,501,0.40000000000000002,135,83,636,60,1-3-0,1,5
