2018njtab_0,District Chairman's Award,frc272,
2018njtab_1,District Event Winner,frc834,
2018njtab_1,District Event Winner,frc1640,
2018njtab_1,District Event Winner,frc2600,
2018njtab_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc1647,
2018njtab_13,Judges' Award,frc87,
2018njtab_14,Highest Rookie Seed,frc7110,
2018njtab_15,Rookie Inspiration Award sponsored by National Instruments,frc7024,
2018njtab_16,Industrial Design Award sponsored by General Motors,frc203,
2018njtab_17,Quality Award sponsored by Motorola Solutions Foundation,frc834,
2018njtab_18,Safety Award sponsored by Underwriters Laboratories,frc365,
2018njtab_2,District Event Finalist,frc1391,
2018njtab_2,District Event Finalist,frc2180,
2018njtab_2,District Event Finalist,frc2495,
2018njtab_20,Creativity Award sponsored by Xerox,frc223,
2018njtab_21,Excellence in Engineering Award sponsored by Delphi,frc5895,
2018njtab_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc5401,
2018njtab_27,Imagery Award in honor of Jack Kamen,frc4285,
2018njtab_29,Innovation in Control Award sponsored by Rockwell Automation,frc2729,
2018njtab_30,Team Spirit Award sponsored by FCA Foundation,frc5113,
2018njtab_9,District Engineering Inspiration Award,frc1391,
