2018orlak_0,District Chairman's Award,frc2521,
2018orlak_1,District Event Winner,frc2471,
2018orlak_1,District Event Winner,frc2811,
2018orlak_1,District Event Winner,frc1571,
2018orlak_10,Rookie All Star Award,frc7034,
2018orlak_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc4043,
2018orlak_13,Judges' Award,frc997,
2018orlak_14,Highest Rookie Seed,frc7034,
2018orlak_16,Industrial Design Award sponsored by General Motors,frc2635,
2018orlak_17,Quality Award sponsored by Motorola Solutions Foundation,frc957,
2018orlak_18,Safety Award sponsored by Underwriters Laboratories,frc5450,
2018orlak_2,District Event Finalist,frc957,
2018orlak_2,District Event Finalist,frc3674,
2018orlak_2,District Event Finalist,frc3636,
2018orlak_20,Creativity Award sponsored by Xerox,frc3674,
2018orlak_21,Excellence in Engineering Award sponsored by Delphi,frc2471,
2018orlak_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc5450,
2018orlak_27,Imagery Award in honor of Jack Kamen,frc2898,
2018orlak_29,Innovation in Control Award sponsored by Rockwell Automation,frc2811,
2018orlak_30,Team Spirit Award sponsored by FCA Foundation,frc1359,
2018orlak_9,District Engineering Inspiration Award,frc2733,
