2018pncmp_0,Regional Chairman's Award,frc4125,
2018pncmp_0,Regional Chairman's Award,frc4911,
2018pncmp_0,Regional Chairman's Award,frc2557,
2018pncmp_1,District Championship Winner,frc2557,
2018pncmp_1,District Championship Winner,frc2471,
2018pncmp_1,District Championship Winner,frc1778,
2018pncmp_10,District Championship Rookie All Star Award,frc7034,
2018pncmp_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc2811,
2018pncmp_13,Judges' Award,frc4061,
2018pncmp_14,Highest Rookie Seed,frc6831,
2018pncmp_15,Rookie Inspiration Award sponsored by National Instruments,frc6845,
2018pncmp_16,Industrial Design Award sponsored by General Motors,frc2471,
2018pncmp_17,Quality Award sponsored by Motorola Solutions Foundation,frc4488,
2018pncmp_18,Safety Award sponsored by Underwriters Laboratories,frc3238,
2018pncmp_2,District Championship Finalist,frc1425,
2018pncmp_2,District Championship Finalist,frc2046,
2018pncmp_2,District Championship Finalist,frc6445,
2018pncmp_20,Creativity Award sponsored by Xerox,frc3663,
2018pncmp_21,Excellence in Engineering Award sponsored by Delphi,frc2910,
2018pncmp_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc2944,
2018pncmp_27,Imagery Award in honor of Jack Kamen,frc1359,
2018pncmp_29,Innovation in Control Award sponsored by Rockwell Automation,frc2046,
2018pncmp_3,Woodie Flowers Finalist Award,frc3024,Kathleen Wilson
2018pncmp_30,Team Spirit Award sponsored by FCA Foundation,frc2930,
2018pncmp_4,FIRST Dean's List Finalist Award,frc4918,Ella  Ashford
2018pncmp_4,FIRST Dean's List Finalist Award,frc2980,Logan Ince
2018pncmp_4,FIRST Dean's List Finalist Award,frc1510,Shishir Pandit-Rao
2018pncmp_4,FIRST Dean's List Finalist Award,frc6443,Goirick Sahafrom
2018pncmp_4,FIRST Dean's List Finalist Award,frc3574,Lauren Vitellaro
2018pncmp_5,Volunteer of the Year,frc2990,Randy  Rothweiler
2018pncmp_5,Volunteer of the Year,frc2907,Regina Grubb
2018pncmp_9,Regional Engineering Inspiration Award,frc2980,
2018pncmp_9,Regional Engineering Inspiration Award,frc568,
