2019ausc_0,Regional Chairman's Award,frc4253,
2019ausc_1,Regional Winners,frc5985,
2019ausc_1,Regional Winners,frc4613,
2019ausc_1,Regional Winners,frc7583,
2019ausc_10,Rookie All Star Award,frc7523,
2019ausc_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc3132,
2019ausc_13,Judges' Award,frc6579,
2019ausc_14,Highest Rookie Seed,frc7433,
2019ausc_15,Rookie Inspiration Award sponsored by National Instruments,frc7719,
2019ausc_16,Industrial Design Award sponsored by General Motors,frc7527,
2019ausc_17,Quality Award sponsored by Motorola Solutions Foundation,frc6434,
2019ausc_18,Safety Award sponsored by Underwriters Laboratories,frc4817,
2019ausc_2,Regional Finalists,frc6986,
2019ausc_2,Regional Finalists,frc5451,
2019ausc_2,Regional Finalists,frc7593,
2019ausc_20,Creativity Award sponsored by Xerox,frc7433,
2019ausc_21,Excellence in Engineering Award sponsored by Delphi,frc4613,
2019ausc_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc5985,
2019ausc_27,Imagery Award in honor of Jack Kamen,frc6191,
2019ausc_29,Innovation in Control Award sponsored by Rockwell Automation,frc6986,
2019ausc_3,Woodie Flowers Finalist Award,frc3132,Sarah Heimlich
2019ausc_30,Team Spirit Award sponsored by FCA Foundation,frc5308,
2019ausc_4,FIRST Dean's List Finalist Award,frc6579,Nicola Pang
2019ausc_4,FIRST Dean's List Finalist Award,frc4817,Rohit Narayanan
2019ausc_5,Volunteer of the Year,,Melinda Blake
2019ausc_68,Wildcard,frc6986,
2019ausc_71,Autonomous Award sponsored by Ford,frc4774,
2019ausc_9,Regional Engineering Inspiration Award,frc4817,
