2019cada_0,Regional Chairman's Award,frc701,
2019cada_1,Regional Winners,frc1323,
2019cada_1,Regional Winners,frc1678,
2019cada_1,Regional Winners,frc3859,
2019cada_10,Rookie All Star Award,frc7663,
2019cada_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc4904,
2019cada_13,Judges' Award,frc3669,
2019cada_14,Highest Rookie Seed,frc7663,
2019cada_15,Rookie Inspiration Award sponsored by National Instruments,frc7529,
2019cada_16,Industrial Design Award sponsored by General Motors,frc1678,
2019cada_17,Quality Award sponsored by Motorola Solutions Foundation,frc1323,
2019cada_18,Safety Award sponsored by Underwriters Laboratories,frc3598,
2019cada_2,Regional Finalists,frc973,
2019cada_2,Regional Finalists,frc1072,
2019cada_2,Regional Finalists,frc3250,
2019cada_20,Creativity Award sponsored by Xerox,frc5419,
2019cada_21,Excellence in Engineering Award sponsored by Delphi,frc3859,
2019cada_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc199,
2019cada_27,Imagery Award in honor of Jack Kamen,frc2839,
2019cada_29,Innovation in Control Award sponsored by Rockwell Automation,frc5940,
2019cada_3,Woodie Flowers Finalist Award,frc1458,Randall Lam
2019cada_30,Team Spirit Award sponsored by FCA Foundation,frc5496,
2019cada_4,FIRST Dean's List Finalist Award,frc1678,Katie Stachowicz
2019cada_4,FIRST Dean's List Finalist Award,frc701,Sarah Bergendahl
2019cada_5,Volunteer of the Year,,Meri Melani
2019cada_68,Wildcard,frc3250,
2019cada_71,Autonomous Award sponsored by Ford,frc973,
2019cada_9,Regional Engineering Inspiration Award,frc3598,
