2019ctwat_0,District Chairman's Award,frc1071,
2019ctwat_1,District Event Winner,frc1676,
2019ctwat_1,District Event Winner,frc230,
2019ctwat_1,District Event Winner,frc3654,
2019ctwat_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc716,
2019ctwat_13,Judges' Award,frc558,
2019ctwat_14,Highest Rookie Seed,frc7760,
2019ctwat_15,Rookie Inspiration Award sponsored by National Instruments,frc7760,
2019ctwat_16,Industrial Design Award sponsored by General Motors,frc3525,
2019ctwat_17,Quality Award sponsored by Motorola Solutions Foundation,frc176,
2019ctwat_18,Safety Award sponsored by Underwriters Laboratories,frc1676,
2019ctwat_2,District Event Finalist,frc176,
2019ctwat_2,District Event Finalist,frc177,
2019ctwat_2,District Event Finalist,frc6723,
2019ctwat_20,Creativity Award sponsored by Xerox,frc4097,
2019ctwat_21,Excellence in Engineering Award sponsored by Delphi,frc2067,
2019ctwat_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc1676,
2019ctwat_27,Imagery Award in honor of Jack Kamen,frc571,
2019ctwat_29,Innovation in Control Award sponsored by Rockwell Automation,frc237,
2019ctwat_30,Team Spirit Award sponsored by FCA Foundation,frc181,
2019ctwat_71,Autonomous Award sponsored by Ford,frc230,
2019ctwat_9,District Engineering Inspiration Award,frc4557,
