2019gaalb_0,District Chairman's Award,frc1002,
2019gaalb_1,District Event Winner,frc832,
2019gaalb_1,District Event Winner,frc6829,
2019gaalb_1,District Event Winner,frc7499,
2019gaalb_10,Rookie All Star Award,frc7470,
2019gaalb_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc6919,
2019gaalb_13,Judges' Award,frc4730,
2019gaalb_14,Highest Rookie Seed,frc7499,
2019gaalb_15,Rookie Inspiration Award sponsored by National Instruments,frc7499,
2019gaalb_16,Industrial Design Award sponsored by General Motors,frc6471,
2019gaalb_17,Quality Award sponsored by Motorola Solutions Foundation,frc6829,
2019gaalb_18,Safety Award sponsored by Underwriters Laboratories,frc1683,
2019gaalb_2,District Event Finalist,frc3635,
2019gaalb_2,District Event Finalist,frc1683,
2019gaalb_2,District Event Finalist,frc6177,
2019gaalb_20,Creativity Award sponsored by Xerox,frc4701,
2019gaalb_21,Excellence in Engineering Award sponsored by Delphi,frc4941,
2019gaalb_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc5734,
2019gaalb_27,Imagery Award in honor of Jack Kamen,frc3998,
2019gaalb_29,Innovation in Control Award sponsored by Rockwell Automation,frc832,
2019gaalb_30,Team Spirit Award sponsored by FCA Foundation,frc5632,
2019gaalb_71,Autonomous Award sponsored by Ford,frc1261,
2019gaalb_9,District Engineering Inspiration Award,frc1683,
