2019hiho_0,Regional Chairman's Award,frc6909,
2019hiho_1,Regional Winners,frc368,
2019hiho_1,Regional Winners,frc359,
2019hiho_1,Regional Winners,frc5515,
2019hiho_10,Rookie All Star Award,frc7724,
2019hiho_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc2090,
2019hiho_13,Judges' Award,frc7497,
2019hiho_14,Highest Rookie Seed,frc7724,
2019hiho_15,Rookie Inspiration Award sponsored by National Instruments,frc7548,
2019hiho_16,Industrial Design Award sponsored by General Motors,frc2444,
2019hiho_17,Quality Award sponsored by Motorola Solutions Foundation,frc4270,
2019hiho_18,Safety Award sponsored by Underwriters Laboratories,frc2437,
2019hiho_2,Regional Finalists,frc4253,
2019hiho_2,Regional Finalists,frc2443,
2019hiho_2,Regional Finalists,frc2441,
2019hiho_20,Creativity Award sponsored by Xerox,frc4253,
2019hiho_21,Excellence in Engineering Award sponsored by Delphi,frc359,
2019hiho_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc6998,
2019hiho_27,Imagery Award in honor of Jack Kamen,frc6704,
2019hiho_29,Innovation in Control Award sponsored by Rockwell Automation,frc368,
2019hiho_3,Woodie Flowers Finalist Award,frc4253,Matt Fagen
2019hiho_30,Team Spirit Award sponsored by FCA Foundation,frc2445,
2019hiho_4,FIRST Dean's List Finalist Award,frc2437,Katelyn Amoroso
2019hiho_4,FIRST Dean's List Finalist Award,frc2443,Johnel Torrejas
2019hiho_5,Volunteer of the Year,,Teri Nobriga
2019hiho_68,Wildcard,frc2443,
2019hiho_68,Wildcard,frc2441,
2019hiho_71,Autonomous Award sponsored by Ford,frc2443,
2019hiho_9,Regional Engineering Inspiration Award,frc2438,
