2019ilch_0,Regional Chairman's Award,frc2062,
2019ilch_1,Regional Winners,frc48,
2019ilch_1,Regional Winners,frc111,
2019ilch_1,Regional Winners,frc2830,
2019ilch_10,Rookie All Star Award,frc7608,
2019ilch_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc111,
2019ilch_13,Judges' Award,frc3061,
2019ilch_14,Highest Rookie Seed,frc7738,
2019ilch_15,Rookie Inspiration Award sponsored by National Instruments,frc7609,
2019ilch_16,Industrial Design Award sponsored by General Motors,frc16,
2019ilch_17,Quality Award sponsored by Motorola Solutions Foundation,frc2338,
2019ilch_18,Safety Award sponsored by Underwriters Laboratories,frc2451,
2019ilch_2,Regional Finalists,frc5934,
2019ilch_2,Regional Finalists,frc5847,
2019ilch_2,Regional Finalists,frc2062,
2019ilch_20,Creativity Award sponsored by Xerox,frc5148,
2019ilch_21,Excellence in Engineering Award sponsored by Delphi,frc930,
2019ilch_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc2016,
2019ilch_27,Imagery Award in honor of Jack Kamen,frc1736,
2019ilch_29,Innovation in Control Award sponsored by Rockwell Automation,frc4096,
2019ilch_3,Woodie Flowers Finalist Award,frc1736,Christopher Gerth
2019ilch_30,Team Spirit Award sponsored by FCA Foundation,frc4296,
2019ilch_4,FIRST Dean's List Finalist Award,frc1781,Jordyn Bracey
2019ilch_4,FIRST Dean's List Finalist Award,frc2451,Audrey Pack
2019ilch_5,Volunteer of the Year,,Kelli Van Antwerp
2019ilch_68,Wildcard,frc5934,
2019ilch_68,Wildcard,frc5847,
2019ilch_71,Autonomous Award sponsored by Ford,frc2252,
2019ilch_9,Regional Engineering Inspiration Award,frc5125,
