2019mdowi_0,District Chairman's Award,frc1111,
2019mdowi_1,District Event Winner,frc836,
2019mdowi_1,District Event Winner,frc614,
2019mdowi_1,District Event Winner,frc3748,
2019mdowi_10,Rookie All Star Award,frc7886,
2019mdowi_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc888,
2019mdowi_13,Judges' Award,frc5945,
2019mdowi_14,Highest Rookie Seed,frc7770,
2019mdowi_15,Rookie Inspiration Award sponsored by National Instruments,frc7770,
2019mdowi_16,Industrial Design Award sponsored by General Motors,frc1719,
2019mdowi_17,Quality Award sponsored by Motorola Solutions Foundation,frc2199,
2019mdowi_18,Safety Award sponsored by Underwriters Laboratories,frc2377,
2019mdowi_2,District Event Finalist,frc2199,
2019mdowi_2,District Event Finalist,frc1629,
2019mdowi_2,District Event Finalist,frc2988,
2019mdowi_2,District Event Finalist,frc5830,
2019mdowi_20,Creativity Award sponsored by Xerox,frc1389,
2019mdowi_21,Excellence in Engineering Award sponsored by Delphi,frc686,
2019mdowi_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc4541,
2019mdowi_27,Imagery Award in honor of Jack Kamen,frc5830,
2019mdowi_29,Innovation in Control Award sponsored by Rockwell Automation,frc2537,
2019mdowi_30,Team Spirit Award sponsored by FCA Foundation,frc5549,
2019mdowi_71,Autonomous Award sponsored by Ford,frc1629,
2019mdowi_9,District Engineering Inspiration Award,frc5243,
