2019mdoxo_0,District Chairman's Award,frc4541,
2019mdoxo_1,District Event Winner,frc612,
2019mdoxo_1,District Event Winner,frc1418,
2019mdoxo_1,District Event Winner,frc6543,
2019mdoxo_10,Rookie All Star Award,frc7714,
2019mdoxo_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc612,
2019mdoxo_13,Judges' Award,frc4821,
2019mdoxo_14,Highest Rookie Seed,frc7879,
2019mdoxo_15,Rookie Inspiration Award sponsored by National Instruments,frc7879,
2019mdoxo_16,Industrial Design Award sponsored by General Motors,frc1727,
2019mdoxo_17,Quality Award sponsored by Motorola Solutions Foundation,frc2377,
2019mdoxo_18,Safety Award sponsored by Underwriters Laboratories,frc2377,
2019mdoxo_2,District Event Finalist,frc620,
2019mdoxo_2,District Event Finalist,frc4472,
2019mdoxo_2,District Event Finalist,frc4541,
2019mdoxo_20,Creativity Award sponsored by Xerox,frc116,
2019mdoxo_21,Excellence in Engineering Award sponsored by Delphi,frc4638,
2019mdoxo_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc4472,
2019mdoxo_27,Imagery Award in honor of Jack Kamen,frc1885,
2019mdoxo_29,Innovation in Control Award sponsored by Rockwell Automation,frc1418,
2019mdoxo_30,Team Spirit Award sponsored by FCA Foundation,frc2534,
2019mdoxo_71,Autonomous Award sponsored by Ford,frc836,
2019mdoxo_9,District Engineering Inspiration Award,frc339,
