2019melew_0,District Chairman's Award,frc3467,
2019melew_1,District Event Winner,frc5687,
2019melew_1,District Event Winner,frc133,
2019melew_1,District Event Winner,frc4055,
2019melew_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc4041,
2019melew_13,Judges' Award,frc237,
2019melew_16,Industrial Design Award sponsored by General Motors,frc6329,
2019melew_17,Quality Award sponsored by Motorola Solutions Foundation,frc1768,
2019melew_18,Safety Award sponsored by Underwriters Laboratories,frc1729,
2019melew_2,District Event Finalist,frc1519,
2019melew_2,District Event Finalist,frc1768,
2019melew_2,District Event Finalist,frc6161,
2019melew_20,Creativity Award sponsored by Xerox,frc2712,
2019melew_21,Excellence in Engineering Award sponsored by Delphi,frc5687,
2019melew_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc4564,
2019melew_27,Imagery Award in honor of Jack Kamen,frc172,
2019melew_29,Innovation in Control Award sponsored by Rockwell Automation,frc133,
2019melew_30,Team Spirit Award sponsored by FCA Foundation,frc1729,
2019melew_71,Autonomous Award sponsored by Ford,frc1519,
2019melew_9,District Engineering Inspiration Award,frc5494,
