2019migib_0,District Chairman's Award,frc3655,
2019migib_1,District Event Winner,frc1023,
2019migib_1,District Event Winner,frc1718,
2019migib_1,District Event Winner,frc6081,
2019migib_10,Rookie All Star Award,frc7789,
2019migib_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc1023,
2019migib_13,Judges' Award,frc5498,
2019migib_14,Highest Rookie Seed,frc7807,
2019migib_15,Rookie Inspiration Award sponsored by National Instruments,frc7856,
2019migib_16,Industrial Design Award sponsored by General Motors,frc1481,
2019migib_17,Quality Award sponsored by Motorola Solutions Foundation,frc3641,
2019migib_18,Safety Award sponsored by Underwriters Laboratories,frc280,
2019migib_2,District Event Finalist,frc3604,
2019migib_2,District Event Finalist,frc3641,
2019migib_2,District Event Finalist,frc5901,
2019migib_20,Creativity Award sponsored by Xerox,frc815,
2019migib_21,Excellence in Engineering Award sponsored by Delphi,frc1250,
2019migib_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc1718,
2019migib_27,Imagery Award in honor of Jack Kamen,frc703,
2019migib_29,Innovation in Control Award sponsored by Rockwell Automation,frc3536,
2019migib_30,Team Spirit Award sponsored by FCA Foundation,frc5090,
2019migib_71,Autonomous Award sponsored by Ford,frc3604,
2019migib_9,District Engineering Inspiration Award,frc548,
