2019mitvc_0,District Chairman's Award,frc5086,
2019mitvc_1,District Event Winner,frc1684,
2019mitvc_1,District Event Winner,frc3688,
2019mitvc_1,District Event Winner,frc7855,
2019mitvc_10,Rookie All Star Award,frc7790,
2019mitvc_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc7160,
2019mitvc_13,Judges' Award,frc3618,
2019mitvc_14,Highest Rookie Seed,frc7861,
2019mitvc_15,Rookie Inspiration Award sponsored by National Instruments,frc7808,
2019mitvc_16,Industrial Design Award sponsored by General Motors,frc1711,
2019mitvc_17,Quality Award sponsored by Motorola Solutions Foundation,frc4376,
2019mitvc_18,Safety Award sponsored by Underwriters Laboratories,frc3767,
2019mitvc_2,District Event Finalist,frc1322,
2019mitvc_2,District Event Finalist,frc7160,
2019mitvc_2,District Event Finalist,frc1711,
2019mitvc_20,Creativity Award sponsored by Xerox,frc3767,
2019mitvc_21,Excellence in Engineering Award sponsored by Delphi,frc3688,
2019mitvc_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc6112,
2019mitvc_27,Imagery Award in honor of Jack Kamen,frc5110,
2019mitvc_29,Innovation in Control Award sponsored by Rockwell Automation,frc6122,
2019mitvc_30,Team Spirit Award sponsored by FCA Foundation,frc6121,
2019mitvc_71,Autonomous Award sponsored by Ford,frc1684,
2019mitvc_9,District Engineering Inspiration Award,frc5525,
