2019mnmi2_0,Regional Chairman's Award,frc2883,
2019mnmi2_1,Regional Winners,frc1816,
2019mnmi2_1,Regional Winners,frc2549,
2019mnmi2_1,Regional Winners,frc3082,
2019mnmi2_10,Rookie All Star Award,frc7858,
2019mnmi2_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc2177,
2019mnmi2_13,Judges' Award,frc3313,
2019mnmi2_14,Highest Rookie Seed,frc7858,
2019mnmi2_15,Rookie Inspiration Award sponsored by National Instruments,frc7849,
2019mnmi2_16,Industrial Design Award sponsored by General Motors,frc2549,
2019mnmi2_17,Quality Award sponsored by Motorola Solutions Foundation,frc6803,
2019mnmi2_18,Safety Award sponsored by Underwriters Laboratories,frc2177,
2019mnmi2_2,Regional Finalists,frc3926,
2019mnmi2_2,Regional Finalists,frc2883,
2019mnmi2_2,Regional Finalists,frc3277,
2019mnmi2_20,Creativity Award sponsored by Xerox,frc2491,
2019mnmi2_21,Excellence in Engineering Award sponsored by Delphi,frc2175,
2019mnmi2_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc1816,
2019mnmi2_27,Imagery Award in honor of Jack Kamen,frc2538,
2019mnmi2_29,Innovation in Control Award sponsored by Rockwell Automation,frc3082,
2019mnmi2_3,Woodie Flowers Finalist Award,frc2491,Kelli Aellen
2019mnmi2_30,Team Spirit Award sponsored by FCA Foundation,frc3633,
2019mnmi2_4,FIRST Dean's List Finalist Award,frc2491,Elias Rojas Collins
2019mnmi2_4,FIRST Dean's List Finalist Award,frc3313,Kailei Johnson
2019mnmi2_5,Volunteer of the Year,,Doug Jensen
2019mnmi2_68,Wildcard,frc3926,
2019mnmi2_68,Wildcard,frc3277,
2019mnmi2_71,Autonomous Award sponsored by Ford,frc3100,
2019mnmi2_9,Regional Engineering Inspiration Award,frc5993,
