2019mokc3_0,Regional Chairman's Award,frc2451,
2019mokc3_1,Regional Winners,frc1987,
2019mokc3_1,Regional Winners,frc1939,
2019mokc3_1,Regional Winners,frc1094,
2019mokc3_10,Rookie All Star Award,frc7729,
2019mokc3_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc4522,
2019mokc3_13,Judges' Award,frc4959,
2019mokc3_14,Highest Rookie Seed,frc7662,
2019mokc3_15,Rookie Inspiration Award sponsored by National Instruments,frc7662,
2019mokc3_16,Industrial Design Award sponsored by General Motors,frc1756,
2019mokc3_17,Quality Award sponsored by Motorola Solutions Foundation,frc6424,
2019mokc3_18,Safety Award sponsored by Underwriters Laboratories,frc3284,
2019mokc3_2,Regional Finalists,frc3931,
2019mokc3_2,Regional Finalists,frc1806,
2019mokc3_2,Regional Finalists,frc5550,
2019mokc3_20,Creativity Award sponsored by Xerox,frc5006,
2019mokc3_21,Excellence in Engineering Award sponsored by Delphi,frc3931,
2019mokc3_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc31,
2019mokc3_27,Imagery Award in honor of Jack Kamen,frc1997,
2019mokc3_29,Innovation in Control Award sponsored by Rockwell Automation,frc5889,
2019mokc3_3,Woodie Flowers Finalist Award,frc4522,Michael Wright
2019mokc3_30,Team Spirit Award sponsored by FCA Foundation,frc7141,
2019mokc3_4,FIRST Dean's List Finalist Award,frc1987,Zane Dautenhahn
2019mokc3_4,FIRST Dean's List Finalist Award,frc5119,Malcolm Maude
2019mokc3_5,Volunteer of the Year,,Michael Brouwer
2019mokc3_68,Wildcard,frc3931,
2019mokc3_71,Autonomous Award sponsored by Ford,frc3284,
2019mokc3_9,Regional Engineering Inspiration Award,frc5437,
