2019mxto_0,Regional Chairman's Award,frc4400,
2019mxto_1,Regional Winners,frc4775,
2019mxto_1,Regional Winners,frc4635,
2019mxto_1,Regional Winners,frc7725,
2019mxto_10,Rookie All Star Award,frc7653,
2019mxto_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc6170,
2019mxto_13,Judges' Award,frc4635,
2019mxto_14,Highest Rookie Seed,frc7706,
2019mxto_15,Rookie Inspiration Award sponsored by National Instruments,frc7725,
2019mxto_16,Industrial Design Award sponsored by General Motors,frc4775,
2019mxto_17,Quality Award sponsored by Motorola Solutions Foundation,frc5312,
2019mxto_18,Safety Award sponsored by Underwriters Laboratories,frc4400,
2019mxto_2,Regional Finalists,frc6647,
2019mxto_2,Regional Finalists,frc5312,
2019mxto_2,Regional Finalists,frc6608,
2019mxto_20,Creativity Award sponsored by Xerox,frc4403,
2019mxto_21,Excellence in Engineering Award sponsored by Delphi,frc4401,
2019mxto_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc7018,
2019mxto_27,Imagery Award in honor of Jack Kamen,frc4735,
2019mxto_29,Innovation in Control Award sponsored by Rockwell Automation,frc6608,
2019mxto_3,Woodie Flowers Finalist Award,frc5705,Magdalena Hernandez
2019mxto_30,Team Spirit Award sponsored by FCA Foundation,frc7161,
2019mxto_4,FIRST Dean's List Finalist Award,frc4635,Karen Lizette Rodriguez
2019mxto_4,FIRST Dean's List Finalist Award,frc4400,Ricardo Salazar
2019mxto_68,Wildcard,frc5312,
2019mxto_68,Wildcard,frc6608,
2019mxto_71,Autonomous Award sponsored by Ford,frc6647,
2019mxto_9,Regional Engineering Inspiration Award,frc6200,
