2019nyli_0,Regional Chairman's Award,frc353,
2019nyli_1,Regional Winners,frc2638,
2019nyli_1,Regional Winners,frc1468,
2019nyli_1,Regional Winners,frc6911,
2019nyli_10,Rookie All Star Award,frc7673,
2019nyli_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc4641,
2019nyli_13,Judges' Award,frc4567,
2019nyli_14,Highest Rookie Seed,frc7539,
2019nyli_15,Rookie Inspiration Award sponsored by National Instruments,frc7611,
2019nyli_16,Industrial Design Award sponsored by General Motors,frc6024,
2019nyli_17,Quality Award sponsored by Motorola Solutions Foundation,frc11,
2019nyli_18,Safety Award sponsored by Underwriters Laboratories,frc2638,
2019nyli_2,Regional Finalists,frc3646,
2019nyli_2,Regional Finalists,frc11,
2019nyli_2,Regional Finalists,frc2905,
2019nyli_20,Creativity Award sponsored by Xerox,frc28,
2019nyli_21,Excellence in Engineering Award sponsored by Delphi,frc3173,
2019nyli_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc2638,
2019nyli_27,Imagery Award in honor of Jack Kamen,frc7748,
2019nyli_29,Innovation in Control Award sponsored by Rockwell Automation,frc7239,
2019nyli_3,Woodie Flowers Finalist Award,frc7539,Meenal Majumder
2019nyli_30,Team Spirit Award sponsored by FCA Foundation,frc2905,
2019nyli_4,FIRST Dean's List Finalist Award,frc7539,Dirgh Shah
2019nyli_4,FIRST Dean's List Finalist Award,frc1601,Shreoshi Rahman
2019nyli_5,Volunteer of the Year,,Frank Langro
2019nyli_68,Wildcard,frc11,
2019nyli_68,Wildcard,frc2905,
2019nyli_71,Autonomous Award sponsored by Ford,frc3646,
2019nyli_9,Regional Engineering Inspiration Award,frc564,
