2019ohcl_0,Regional Chairman's Award,frc5667,
2019ohcl_1,Regional Winners,frc4028,
2019ohcl_1,Regional Winners,frc48,
2019ohcl_1,Regional Winners,frc4145,
2019ohcl_10,Rookie All Star Award,frc7885,
2019ohcl_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc2172,
2019ohcl_13,Judges' Award,frc6936,
2019ohcl_14,Highest Rookie Seed,frc7885,
2019ohcl_16,Industrial Design Award sponsored by General Motors,frc120,
2019ohcl_17,Quality Award sponsored by Motorola Solutions Foundation,frc1014,
2019ohcl_18,Safety Award sponsored by Underwriters Laboratories,frc379,
2019ohcl_2,Regional Finalists,frc3003,
2019ohcl_2,Regional Finalists,frc5667,
2019ohcl_2,Regional Finalists,frc120,
2019ohcl_20,Creativity Award sponsored by Xerox,frc4028,
2019ohcl_21,Excellence in Engineering Award sponsored by Delphi,frc379,
2019ohcl_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc3641,
2019ohcl_27,Imagery Award in honor of Jack Kamen,frc3157,
2019ohcl_29,Innovation in Control Award sponsored by Rockwell Automation,frc4145,
2019ohcl_3,Woodie Flowers Finalist Award,frc4780,Jason Bosch
2019ohcl_30,Team Spirit Award sponsored by FCA Foundation,frc2228,
2019ohcl_4,FIRST Dean's List Finalist Award,frc2252,Cecilia Yeckley
2019ohcl_4,FIRST Dean's List Finalist Award,frc4611,Kimberly Welch
2019ohcl_5,Volunteer of the Year,,Tom Sours
2019ohcl_5,Volunteer of the Year,,Mary Anne Sours
2019ohcl_71,Autonomous Award sponsored by Ford,frc5254,
2019ohcl_9,Regional Engineering Inspiration Award,frc6964,
