2019txsan_0,District Chairman's Award,frc3481,
2019txsan_1,District Event Winner,frc3035,
2019txsan_1,District Event Winner,frc7621,
2019txsan_1,District Event Winner,frc3240,
2019txsan_10,Rookie All Star Award,frc7521,
2019txsan_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc3240,
2019txsan_13,Judges' Award,frc5726,
2019txsan_14,Highest Rookie Seed,frc7521,
2019txsan_15,Rookie Inspiration Award sponsored by National Instruments,frc7872,
2019txsan_16,Industrial Design Award sponsored by General Motors,frc5572,
2019txsan_17,Quality Award sponsored by Motorola Solutions Foundation,frc5986,
2019txsan_18,Safety Award sponsored by Underwriters Laboratories,frc457,
2019txsan_2,District Event Finalist,frc7872,
2019txsan_2,District Event Finalist,frc3481,
2019txsan_2,District Event Finalist,frc5754,
2019txsan_20,Creativity Award sponsored by Xerox,frc5894,
2019txsan_21,Excellence in Engineering Award sponsored by Delphi,frc6155,
2019txsan_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc457,
2019txsan_27,Imagery Award in honor of Jack Kamen,frc3545,
2019txsan_29,Innovation in Control Award sponsored by Rockwell Automation,frc5960,
2019txsan_30,Team Spirit Award sponsored by FCA Foundation,frc3997,
2019txsan_71,Autonomous Award sponsored by Ford,frc3035,
2019txsan_9,District Engineering Inspiration Award,frc7312,
