2001pa_1,Regional Winner,frc56,
2001pa_1,Regional Winner,frc103,
2001pa_1,Regional Winner,frc165,
2001pa_1,Regional Winner,frc316,
2001pa_1,Regional Winner,frc365,
2001pa_10,Rookie All-Star,frc528,
2001pa_10,Rookie All-Star,frc651,
2001pa_13,Judges' Award,frc433,
2001pa_14,Highest Rookie Seed,frc563,
2001pa_16,Industrial Design,frc233,
2001pa_17,Quality,frc365,
2001pa_19,Sportsmanship-GP,frc487,
2001pa_2,Regional Finalist,frc87,
2001pa_2,Regional Finalist,frc104,
2001pa_2,Regional Finalist,frc233,
2001pa_2,Regional Finalist,frc304,
2001pa_2,Regional Finalist,frc484,
2001pa_20,Creativity,frc287,
2001pa_26,"Delphi ""Driving Tomorrow's Technology""",frc122,
2001pa_27,Imagery,frc134,
2001pa_30,Team Spirit Award,frc444,
2001pa_38,Leadership in Controls,frc56,
2001pa_39,#1 Seed,frc365,
2001pa_40,Incredible Play,frc103,
