2002mi_0,Regional Chairmans Award,frc74,
2002mi_1,Regional Winner,frc47,
2002mi_1,Regional Winner,frc33,
2002mi_1,Regional Winner,frc888,
2002mi_10,Rookie All Star Award - Friday,frc818,
2002mi_10,Rookie All Star Award - Friday,frc857,
2002mi_13,Judges Award - Friday,frc9,
2002mi_13,Judges Award - Friday,frc535,
2002mi_13,Judges Award - Friday,frc235,
2002mi_14,Highest Rookie Seed,frc857,
2002mi_16,GM Industrial Design Award,frc47,
2002mi_17,Motorola Quality Award,frc66,
2002mi_19,Johnson & Johnson Sportsmanship Award,frc107,
2002mi_2,Regional Finalist,frc66,
2002mi_2,Regional Finalist,frc322,
2002mi_2,Regional Finalist,frc27,
2002mi_20,Xerox Creativity Award,frc107,
2002mi_22,Kleiner Perkins Caufield & Byers Entrepreneurship,frc65,
2002mi_26,"Delphi ""Driving Tomorrows Technology Award",frc71,
2002mi_27,Imagery Award,frc68,
2002mi_30,DaimlerChrysler Team Spirit Award,frc128,
2002mi_38,Leadership in Control Award,frc67,
2002mi_39,#1 Seed,frc67,
2002mi_40,Incredible Play Award,frc47,
2002mi_40,Incredible Play Award,frc67,
2002mi_9,Engineering Inspiration Award,frc85,
