2002nj_0,Regional Chairmans Award,frc175,
2002nj_1,Regional Winner,frc224,
2002nj_1,Regional Winner,frc7,
2002nj_1,Regional Winner,frc339,
2002nj_10,Rookie All Star Award - Friday,frc885,
2002nj_10,Rookie All Star Award - Friday,frc869,
2002nj_13,Judges Award - Friday,frc30,
2002nj_13,Judges Award - Friday,frc103,
2002nj_14,Highest Rookie Seed,frc885,
2002nj_16,GM Industrial Design Award,frc7,
2002nj_17,Motorola Quality Award,frc224,
2002nj_19,Johnson & Johnson Sportsmanship Award,frc303,
2002nj_2,Regional Finalist,frc84,
2002nj_2,Regional Finalist,frc25,
2002nj_2,Regional Finalist,frc11,
2002nj_20,Xerox Creativity Award,frc293,
2002nj_22,Kleiner Perkins Caufield & Byers Entrepreneurship,frc75,
2002nj_26,"Delphi ""Driving Tomorrows Technology Award",frc176,
2002nj_27,Imagery Award,frc203,
2002nj_30,DaimlerChrysler Team Spirit Award,frc88,
2002nj_38,Leadership in Control Award,frc84,
2002nj_39,#1 Seed,frc84,
2002nj_40,Incredible Play Award,frc95,
2002nj_9,Engineering Inspiration Award,frc25,
