2005cmp_0,Chairman's Award Winner,frc67,
2005cmp_1,Championship Winner,frc67,
2005cmp_1,Championship Winner,frc330,
2005cmp_1,Championship Winner,frc503,
2005cmp_10,Rookie All-Star,frc1511,
2005cmp_13,Judges' Award,frc79,
2005cmp_13,Judges' Award,frc341,
2005cmp_13,Judges' Award,frc1398,
2005cmp_15,Rookie Inspiration Award,frc1547,
2005cmp_16,Industrial Design,frc233,
2005cmp_17,Quality,frc118,
2005cmp_18,Safety Award,frc1305,
2005cmp_19,Sportsmanship-GP,frc555,
2005cmp_2,Championship Finalist,frc56,
2005cmp_2,Championship Finalist,frc64,
2005cmp_2,Championship Finalist,frc254,
2005cmp_20,Creativity,frc279,
2005cmp_22,Entrepreneurship,frc365,
2005cmp_26,"Delphi ""Driving Tomorrow's Technology""",frc66,
2005cmp_27,Imagery,frc33,
2005cmp_3,Woodie Flowers Award,frc217,Paul Copioli
2005cmp_30,Team Spirit Award,frc47,
2005cmp_31,Website Design Award,frc1540,
2005cmp_32,Autodesk Visualization Award,frc1414,
2005cmp_33,Autodesk Inventor Award,frc103,
2005cmp_33,Autodesk Inventor Award,frc1137,
2005cmp_38,Leadership in Controls,frc447,
2005cmp_42,Autodesk Rising Star Visualization Award,frc868,
2005cmp_51,Chairmans Award - Honorable Mention,frc118,
2005cmp_51,Chairmans Award - Honorable Mention,frc365,
2005cmp_9,Engineering Inspiration Award,frc842,
