2006oh_0,Regional Chairman's Award,frc48,
2006oh_1,Regional Winner,frc272,
2006oh_1,Regional Winner,frc494,
2006oh_1,Regional Winner,frc174,
2006oh_10,Rookie All-Star Award,frc1714,
2006oh_13,Judge's Award (Day 1),frc272,
2006oh_13,Judge's Award (Day 1),frc677,
2006oh_14,Highest Rookie Seed Award,frc1747,
2006oh_15,Rookie Inspiration Award,frc1747,
2006oh_16,General Motors Industrial Design Award,frc123,
2006oh_17,Motorola Quality Award,frc48,
2006oh_18,Underwriters Laboratories Industrial Safety Award,frc48,
2006oh_19,Johnson and Johnson Sportsmanship Award,frc141,
2006oh_2,Regional Finalist,frc461,
2006oh_2,Regional Finalist,frc1018,
2006oh_2,Regional Finalist,frc141,
2006oh_20,Xerox Creativity Award,frc70,
2006oh_22,"Kleiner, Perkins, Caufield and Byers Entrepreneurship Award",frc379,
2006oh_26,"Delphi ""Driving Tommorow's Technology"" Award",frc1008,
2006oh_27,Imagery Award,frc963,
2006oh_29,Radio Shack Innovation in Control Award,frc494,
2006oh_3,Regional Woodie Flowers Award,,Steve Florence
2006oh_30,DaimlerChrysler Team Spirit Award,frc1532,
2006oh_31,Website Award,frc461,
2006oh_32,Autodesk Visualization Award,frc1747,
2006oh_5,Outstanding Volunteer of the Year Award,,Richard Manco
2006oh_9,Engineering Inspiration Award,frc461,
