2008hi_0,Regional Chairman's Award,frc359,
2008hi_1,Regional Winner,frc233,
2008hi_1,Regional Winner,frc254,
2008hi_1,Regional Winner,frc2454,
2008hi_10,Rookie All Star Award,frc2455,
2008hi_11,Johnson & Johnson Gracious Professionalism,frc368,
2008hi_13,Judges Award,frc846,
2008hi_13,Judges Award,frc1138,
2008hi_14,Highest Rookie Seed Award,frc2444,
2008hi_15,Rookie Inspiration Award,frc2437,
2008hi_16,General Motors Industrial Design Award,frc1572,
2008hi_17,Motorola Quality Award,frc254,
2008hi_18,Underwriters Laboratory Industrial Safety Award,frc337,
2008hi_2,Regional Finalist,frc359,
2008hi_2,Regional Finalist,frc368,
2008hi_2,Regional Finalist,frc2437,
2008hi_20,Xerox Creativity Award,frc337,
2008hi_22,Kleiner Perkins Caufield & Byers Entrepreneurship Award,frc359,
2008hi_26,"Delphi ""Driving Tomorrow's Technology"" Award",frc25,
2008hi_27,Imagery Award,frc362,
2008hi_29,Rockwell Automation Innovation in Control Award,frc233,
2008hi_3,Woodie Flowers Award,,Alan Ing of Team 368
2008hi_30,Chrysler Team Spirit Award,frc2024,
2008hi_31,Website Award,frc597,
2008hi_32,Autodesk Visualization Award,frc25,
2008hi_5,Outstanding Volunteer Award,,Art Kimura
2008hi_9,Regional Engineering Inspiration Award,frc597,
