2008kc_0,Regional Chairman's Award,frc1429,
2008kc_1,Regional Winner,frc476,
2008kc_1,Regional Winner,frc1802,
2008kc_1,Regional Winner,frc1806,
2008kc_10,Rookie All Star Award,frc2335,
2008kc_11,Johnson & Johnson Gracious Professionalism,frc1806,
2008kc_13,Judges Award,frc1763,
2008kc_13,Judges Award,frc1776,
2008kc_14,Highest Rookie Seed Award,frc2334,
2008kc_15,Rookie Inspiration Award,frc2385,
2008kc_16,General Motors Industrial Design Award,frc935,
2008kc_17,Motorola Quality Award,frc1996,
2008kc_18,Underwriters Laboratory Industrial Safety Award,frc476,
2008kc_2,Regional Finalist,frc1981,
2008kc_2,Regional Finalist,frc1997,
2008kc_2,Regional Finalist,frc1996,
2008kc_20,Xerox Creativity Award,frc1108,
2008kc_22,Kleiner Perkins Caufield & Byers Entrepreneurship Award,frc476,
2008kc_26,"Delphi ""Driving Tomorrow's Technology"" Award",frc1730,
2008kc_27,Imagery Award,frc2334,
2008kc_29,Rockwell Automation Innovation in Control Award,frc1986,
2008kc_3,Woodie Flowers Award,frc1730,Rex Brown
2008kc_30,Chrysler Team Spirit Award,frc1710,
2008kc_31,Website Award,frc1710,
2008kc_32,Autodesk Visualization Award,frc1710,
2008kc_5,Outstanding Volunteer Award,,Alison Maier
2008kc_9,Regional Engineering Inspiration Award,frc1939,
