Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,148,9,0,0,9,18.00,39.78,78
2,1444,9,0,0,9,18.00,35.11,82
3,494,7,1,1,9,15.00,51.11,70
4,525,7,1,1,9,15.00,44.44,94
5,2081,7,1,1,9,15.00,34.44,78
6,217,6,2,1,9,13.00,38.44,82
7,2457,6,2,1,9,13.00,36.00,66
8,1288,6,3,0,9,12.00,38.00,68
9,1094,5,3,1,9,11.00,41.11,90
10,1182,5,3,1,9,11.00,40.00,78
11,830,5,3,1,9,11.00,35.78,72
12,1178,5,3,1,9,11.00,34.22,70
13,1741,5,4,0,9,10.00,40.22,94
14,70,5,4,0,9,10.00,40.22,74
15,45,5,4,0,9,10.00,39.33,90
16,1,5,4,0,9,10.00,37.11,82
17,85,5,4,0,9,10.00,36.89,72
18,292,5,4,0,9,10.00,36.22,94
19,2219,5,4,0,9,10.00,34.44,66
20,1208,5,4,0,9,10.00,32.22,72
21,1985,5,4,0,9,10.00,31.56,74
22,288,4,4,1,9,9.00,38.44,76
23,2408,4,4,1,9,9.00,26.44,66
24,931,4,5,0,9,8.00,41.11,76
25,135,4,5,0,9,8.00,37.33,66
26,1502,4,5,0,9,8.00,34.89,78
27,2177,4,5,0,9,8.00,34.89,74
28,2062,4,5,0,9,8.00,32.89,90
29,2014,4,5,0,9,8.00,29.78,74
30,818,4,5,0,9,8.00,29.78,64
31,1018,4,5,0,9,8.00,27.78,68
32,1329,3,4,2,9,8.00,26.44,82
33,967,3,5,1,9,7.00,22.89,64
34,1804,3,6,0,9,6.00,30.22,56
35,829,3,6,0,9,6.00,29.56,52
36,1706,3,6,0,9,6.00,28.00,54
37,2044,3,6,0,9,6.00,26.67,62
38,2410,3,6,0,9,6.00,26.44,44
39,932,2,6,1,9,5.00,41.56,90
40,1098,2,7,0,9,4.00,34.22,68
41,868,2,7,0,9,4.00,27.33,38
42,442,1,7,1,9,3.00,32.22,90
43,2560,1,7,1,9,3.00,24.67,54
44,2197,1,7,1,9,3.00,18.22,72
45,1658,1,7,0,8,2.00,18.89,56
