Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,118,9,1,0,10,18.00,33.40,70
2,501,9,1,0,10,18.00,32.20,100
3,1477,9,1,0,10,18.00,26.80,54
4,1865,8,2,0,10,16.00,23.00,56
5,2468,7,3,0,10,14.00,29.80,74
6,704,6,3,1,10,13.00,22.40,50
7,647,6,4,0,10,12.00,31.20,58
8,1801,6,4,0,10,12.00,30.00,60
9,418,6,4,0,10,12.00,25.20,52
10,2276,6,4,0,10,12.00,25.00,56
11,2158,6,4,0,10,12.00,23.00,60
12,1326,6,4,0,10,12.00,20.40,68
13,441,6,4,0,10,12.00,18.80,74
14,1429,6,4,0,10,12.00,18.20,100
15,2582,5,4,1,10,11.00,31.40,70
16,231,5,4,1,10,11.00,23.60,100
17,434,5,4,1,10,11.00,23.60,74
18,1255,5,5,0,10,10.00,24.40,40
19,2613,5,5,0,10,10.00,22.60,52
20,1818,5,5,0,10,10.00,20.80,42
21,1484,5,5,0,10,10.00,18.40,68
22,2587,4,4,2,10,10.00,18.20,58
23,2583,5,5,0,10,10.00,17.60,70
24,2157,5,4,0,9,10.00,17.00,54
25,2585,5,4,0,9,10.00,15.00,52
26,624,4,5,1,10,9.00,24.40,58
27,1745,4,5,1,10,9.00,22.40,48
28,1108,4,5,1,10,9.00,16.80,58
29,1817,4,5,1,10,9.00,15.60,40
30,1480,4,4,1,9,9.00,13.00,50
31,57,4,6,0,10,8.00,31.80,76
32,499,4,6,0,10,8.00,20.60,50
33,2652,4,6,0,10,8.00,17.00,58
34,1867,4,5,0,9,8.00,15.20,76
35,2287,4,5,0,9,8.00,15.00,52
36,437,4,6,0,10,8.00,12.40,44
37,653,3,5,1,9,7.00,17.60,64
38,2072,2,6,2,10,6.00,17.40,36
39,1642,3,7,0,10,6.00,14.80,38
40,2597,3,7,0,10,6.00,14.40,54
41,1772,2,7,1,10,5.00,17.40,48
42,922,2,6,1,9,5.00,13.80,42
43,660,2,6,1,9,5.00,13.20,40
44,1513,2,5,1,8,5.00,9.40,26
45,1898,2,8,0,10,4.00,15.80,38
46,2664,1,9,0,10,2.00,12.80,26
