Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,1144,9,0,0,9,18.00,47.44,98
2,103,9,0,0,9,18.00,44.77,98
3,25,8,1,0,9,16.00,46.88,93
4,744,7,1,1,9,15.00,40.77,120
5,501,7,2,0,9,14.00,40.66,107
6,79,7,2,0,9,14.00,40.22,120
7,179,6,2,1,9,13.00,53.88,84
8,180,6,3,0,9,12.00,45.11,88
9,945,6,3,0,9,12.00,44.11,88
10,665,6,3,0,9,12.00,44.00,98
11,1557,6,3,0,9,12.00,39.66,72
12,2564,6,3,0,9,12.00,39.55,78
13,1649,5,3,1,9,11.00,44.22,107
14,2885,5,4,0,9,10.00,50.33,89
15,1341,5,4,0,9,10.00,46.55,86
16,238,5,4,0,9,10.00,46.33,90
17,2152,5,4,0,9,10.00,43.44,81
18,233,5,4,0,9,10.00,42.44,107
19,168,5,4,0,9,10.00,40.77,119
20,408,5,4,0,9,10.00,40.44,84
21,1889,5,4,0,9,10.00,40.33,81
22,2422,5,4,0,9,10.00,39.33,98
23,1875,5,4,0,9,10.00,39.22,89
24,2425,5,4,0,9,10.00,37.77,88
25,1902,5,4,0,9,10.00,37.55,81
26,1876,5,4,0,9,10.00,32.88,81
27,1251,4,4,1,9,9.00,44.33,78
28,2383,4,4,1,9,9.00,37.11,119
29,425,4,5,0,9,8.00,49.88,98
30,108,4,5,0,9,8.00,46.22,92
31,1616,4,5,0,9,8.00,44.55,68
32,2569,4,5,0,9,8.00,41.00,98
33,1345,4,5,0,9,8.00,39.55,60
34,59,4,5,0,9,8.00,39.33,92
35,1523,4,5,0,9,8.00,38.77,60
36,2884,3,5,1,9,7.00,42.33,75
37,1885,3,5,1,9,7.00,39.22,85
38,1922,3,5,1,9,7.00,36.88,80
39,86,3,5,1,9,7.00,34.11,93
40,2023,3,6,0,9,6.00,44.11,120
41,1592,3,6,0,9,6.00,38.66,88
42,2916,3,6,0,9,6.00,38.22,90
43,1543,3,6,0,9,6.00,36.66,66
44,386,2,6,1,9,5.00,43.00,56
45,2757,2,6,1,9,5.00,42.44,72
46,1612,2,7,0,9,4.00,40.88,68
47,21,2,7,0,9,4.00,40.22,78
48,2797,2,7,0,9,4.00,37.33,78
49,1029,2,6,0,8,4.00,28.66,70
50,1284,1,7,1,9,3.00,40.88,60
51,1390,1,8,0,9,2.00,43.22,81
52,801,1,8,0,9,2.00,41.33,58
