Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,67,12,0,0,12,24.00,51.75,117
2,1,10,2,0,12,20.00,46.83,95
3,1918,9,3,0,12,18.00,50.16,117
4,27,9,3,0,12,18.00,40.83,121
5,245,8,4,0,12,16.00,48.41,102
6,123,8,4,0,12,16.00,48.41,85
7,830,8,4,0,12,16.00,45.58,105
8,397,8,4,0,12,16.00,42.33,80
9,1502,7,4,1,12,15.00,49.25,117
10,2611,7,4,1,12,15.00,45.16,103
11,216,7,5,0,12,14.00,48.33,121
12,2145,7,5,0,12,14.00,47.91,121
13,494,7,5,0,12,14.00,47.91,102
14,68,7,5,0,12,14.00,40.91,90
15,3098,6,6,0,12,12.00,47.50,86
16,2767,6,6,0,12,12.00,46.58,102
17,894,6,6,0,12,12.00,46.08,76
18,288,6,6,0,12,12.00,45.83,102
19,2054,6,6,0,12,12.00,45.33,106
20,1504,6,6,0,12,12.00,44.91,106
21,470,6,6,0,12,12.00,42.50,93
22,2617,6,6,0,12,12.00,38.08,93
23,70,5,6,1,12,11.00,46.75,85
24,2337,5,6,1,12,11.00,43.25,70
25,1188,5,7,0,12,10.00,49.75,95
26,2075,5,7,0,12,10.00,41.33,93
27,1896,5,7,0,12,10.00,40.75,88
28,2474,5,7,0,12,10.00,40.25,95
29,1711,5,7,0,12,10.00,38.83,98
30,858,5,7,0,12,10.00,37.41,105
31,1677,5,7,0,12,10.00,37.33,84
32,94,4,7,1,12,9.00,47.50,90
33,3114,4,8,0,12,8.00,52.25,98
34,2163,4,8,0,12,8.00,41.83,78
35,518,4,8,0,12,8.00,36.33,85
36,1023,3,8,1,12,7.00,44.75,70
37,2015,3,9,0,12,6.00,40.91,95
38,74,3,9,0,12,6.00,40.66,87
39,1940,3,9,0,12,6.00,38.66,103
40,468,2,10,0,12,4.00,44.75,61
