Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,1742,7,1,0,8,14.00,41.75,71
2,1561,7,1,0,8,14.00,39.12,81
3,2369,7,1,0,8,14.00,35.00,81
4,2391,7,1,0,8,14.00,34.50,76
5,2436,6,2,0,8,12.00,50.00,82
6,476,6,2,0,8,12.00,41.37,61
7,2829,6,2,0,8,12.00,39.00,61
8,2461,6,2,0,8,12.00,36.75,74
9,2389,5,2,1,8,11.00,44.00,71
10,2469,5,2,1,8,11.00,39.75,76
11,2352,5,2,1,8,11.00,34.00,81
12,2424,4,2,2,8,10.00,44.37,69
13,2373,5,3,0,8,10.00,42.00,69
14,932,5,3,0,8,10.00,41.37,72
15,2395,5,3,0,8,10.00,40.87,78
16,2333,5,3,0,8,10.00,38.50,81
17,2773,5,3,0,8,10.00,37.87,76
18,2842,5,3,0,8,10.00,37.50,71
19,2165,4,3,1,8,9.00,38.12,82
20,2343,4,4,0,8,8.00,42.37,74
21,2354,4,4,0,8,8.00,42.12,66
22,31,4,4,0,8,8.00,41.00,78
23,2435,4,4,0,8,8.00,39.87,58
24,2986,4,4,0,8,8.00,39.87,54
25,2376,4,4,0,8,8.00,39.25,81
26,2777,4,4,0,8,8.00,38.50,60
27,2341,3,3,2,8,8.00,38.37,81
28,2004,4,4,0,8,8.00,38.12,63
29,2723,4,4,0,8,8.00,35.62,82
30,2398,4,4,0,8,8.00,35.50,62
31,1750,3,4,1,8,7.00,41.00,58
32,2571,3,5,0,8,6.00,42.25,63
33,2793,3,5,0,8,6.00,41.50,62
34,2759,3,5,0,8,6.00,41.50,58
35,2332,3,5,0,8,6.00,39.50,61
36,2468,3,5,0,8,6.00,37.50,75
37,2821,3,5,0,8,6.00,36.37,68
38,2382,3,5,0,8,6.00,36.25,79
39,2763,3,5,0,8,6.00,36.00,61
40,2795,2,5,1,8,5.00,40.75,72
41,2372,2,6,0,8,4.00,40.37,75
42,2765,2,6,0,8,4.00,39.75,49
43,2330,2,6,0,8,4.00,38.12,60
44,1666,2,6,0,8,4.00,36.50,71
45,1429,2,6,0,8,4.00,33.50,48
46,2359,2,6,0,8,4.00,33.25,56
47,2779,2,6,0,8,4.00,31.50,56
48,1209,1,6,1,8,3.00,41.75,58
49,2396,1,6,1,8,3.00,38.37,59
50,2388,1,7,0,8,2.00,28.75,46
