2010dc_f1m1,frc3123,frc176,frc1727,frc346,frc2377,frc1418,0,2
2010dc_f1m2,frc3123,frc1727,frc176,frc2377,frc346,frc1418,7,2
2010dc_f1m3,frc3123,frc1727,frc176,frc346,frc1418,frc2377,7,5
2010dc_qf1m1,frc176,frc1727,frc3123,frc1024,frc2641,frc701,8,4
2010dc_qf1m2,frc3123,frc1727,frc176,frc701,frc2641,frc1024,1,0
2010dc_qf2m1,frc2912,frc449,frc2068,frc45,frc3373,frc1829,1,0
2010dc_qf2m2,frc449,frc2912,frc2068,frc45,frc1829,frc3373,0,3
2010dc_qf2m3,frc2068,frc449,frc2912,frc3373,frc45,frc1829,5,4
2010dc_qf3m1,frc1885,frc768,frc339,frc620,frc3283,frc1111,6,0
2010dc_qf3m2,frc768,frc339,frc1885,frc1111,frc3283,frc620,5,3
2010dc_qf4m1,frc2377,frc1418,frc346,frc612,frc614,frc2010,3,0
2010dc_qf4m2,frc346,frc2377,frc1418,frc2010,frc612,frc614,3,1
2010dc_qm1,frc48,frc2377,frc701,frc2537,frc3340,frc3246,4,0
2010dc_qm10,frc2068,frc3154,frc339,frc2961,frc176,frc2912,4,2
2010dc_qm11,frc1024,frc2964,frc48,frc116,frc3283,frc2914,0,0
2010dc_qm12,frc3123,frc2534,frc207,frc1529,frc449,frc3373,2,0
2010dc_qm13,frc2421,frc2962,frc612,frc3208,frc620,frc2363,0,3
2010dc_qm14,frc1829,frc1708,frc2963,frc3340,frc2900,frc623,0,2
2010dc_qm15,frc2912,frc2641,frc1123,frc768,frc2537,frc45,3,1
2010dc_qm16,frc3150,frc2377,frc614,frc2961,frc2121,frc1727,0,3
2010dc_qm17,frc3298,frc2819,frc1849,frc1885,frc1915,frc3246,0,1
2010dc_qm18,frc1418,frc2010,frc2911,frc176,frc701,frc346,2,0
2010dc_qm19,frc1712,frc1370,frc611,frc2068,frc1446,frc1111,0,2
2010dc_qm2,frc207,frc2421,frc2914,frc3150,frc2534,frc611,1,0
2010dc_qm20,frc2913,frc1900,frc3123,frc3279,frc3154,frc620,5,2
2010dc_qm21,frc2914,frc2964,frc1123,frc612,frc2377,frc2363,0,5
2010dc_qm22,frc1024,frc3373,frc623,frc2819,frc768,frc1885,5,1
2010dc_qm23,frc2641,frc3246,frc346,frc1708,frc207,frc339,4,1
2010dc_qm24,frc3150,frc2010,frc2068,frc3283,frc3340,frc1446,2,3
2010dc_qm25,frc1712,frc1849,frc701,frc2962,frc1900,frc48,1,1
2010dc_qm26,frc176,frc116,frc2534,frc2912,frc3298,frc1370,0,3
2010dc_qm27,frc2961,frc1529,frc1418,frc2900,frc3279,frc2421,0,0
2010dc_qm28,frc2963,frc2913,frc1915,frc614,frc45,frc611,1,3
2010dc_qm29,frc2911,frc449,frc3154,frc3208,frc1829,frc1727,1,0
2010dc_qm3,frc2962,frc768,frc339,frc1418,frc3123,frc614,4,5
2010dc_qm30,frc1111,frc2537,frc339,frc2121,frc2819,frc3150,4,0
2010dc_qm31,frc3298,frc2363,frc1446,frc1024,frc1900,frc2641,2,0
2010dc_qm32,frc2010,frc1123,frc623,frc207,frc2912,frc1849,1,4
2010dc_qm33,frc45,frc701,frc612,frc1370,frc2534,frc2961,0,0
2010dc_qm34,frc449,frc2913,frc2377,frc116,frc2900,frc1529,3,2
2010dc_qm35,frc48,frc768,frc3279,frc3208,frc2068,frc1708,3,1
2010dc_qm36,frc3246,frc2421,frc3283,frc614,frc2914,frc2911,2,0
2010dc_qm37,frc3154,frc3340,frc1111,frc346,frc2962,frc3373,5,3
2010dc_qm38,frc1418,frc620,frc1829,frc2537,frc611,frc1885,0,0
2010dc_qm39,frc176,frc1727,frc3123,frc2964,frc1712,frc2963,4,4
2010dc_qm4,frc3373,frc2641,frc620,frc2010,frc116,frc2121,0,1
2010dc_qm40,frc2121,frc2363,frc3279,frc1915,frc207,frc1370,1,0
2010dc_qm41,frc623,frc1708,frc2911,frc3298,frc2377,frc2961,0,0
2010dc_qm42,frc2912,frc1900,frc3208,frc1111,frc1123,frc3373,0,2
2010dc_qm43,frc346,frc2900,frc614,frc1885,frc45,frc2068,4,1
2010dc_qm44,frc1829,frc2537,frc1024,frc2534,frc2962,frc2010,1,0
2010dc_qm45,frc1712,frc2421,frc3150,frc3154,frc2964,frc1849,1,0
2010dc_qm46,frc2121,frc2963,frc449,frc3246,frc612,frc1418,0,1
2010dc_qm47,frc3340,frc2819,frc176,frc2914,frc768,frc2913,1,1
2010dc_qm48,frc1727,frc3283,frc701,frc3123,frc2641,frc611,7,3
2010dc_qm49,frc1915,frc48,frc1446,frc620,frc339,frc1529,0,3
2010dc_qm5,frc1900,frc1111,frc3283,frc449,frc623,frc1915,2,0
2010dc_qm50,frc116,frc2537,frc2068,frc1900,frc2421,frc1708,0,0
2010dc_qm51,frc45,frc3246,frc2964,frc3279,frc1829,frc3373,3,1
2010dc_qm52,frc1712,frc2912,frc1885,frc2914,frc449,frc2363,4,1
2010dc_qm53,frc2534,frc768,frc2377,frc3283,frc346,frc3154,5,2
2010dc_qm54,frc3298,frc1727,frc1418,frc1123,frc3340,frc620,6,2
2010dc_qm55,frc2961,frc48,frc3123,frc2010,frc2913,frc1111,0,3
2010dc_qm56,frc2962,frc3150,frc1915,frc2963,frc612,frc2641,0,2
2010dc_qm57,frc611,frc1529,frc3208,frc623,frc2121,frc176,0,2
2010dc_qm58,frc1370,frc2911,frc1024,frc1849,frc339,frc2900,1,3
2010dc_qm59,frc116,frc614,frc1446,frc701,frc2819,frc207,0,3
2010dc_qm6,frc1370,frc2964,frc1885,frc2913,frc1024,frc3208,3,0
2010dc_qm60,frc45,frc620,frc3298,frc2068,frc449,frc2964,9,0
2010dc_qm61,frc3154,frc1708,frc2641,frc1418,frc1885,frc1111,2,6
2010dc_qm62,frc3246,frc3208,frc2534,frc1712,frc2010,frc1915,3,3
2010dc_qm63,frc2363,frc2900,frc176,frc3373,frc3150,frc48,2,0
2010dc_qm64,frc623,frc2914,frc1727,frc701,frc339,frc3279,3,3
2010dc_qm65,frc2962,frc2961,frc611,frc2819,frc1123,frc116,0,1
2010dc_qm66,frc2911,frc1900,frc3340,frc612,frc614,frc1529,1,1
2010dc_qm67,frc1446,frc1829,frc2121,frc1849,frc768,frc2421,0,3
2010dc_qm68,frc2963,frc2537,frc207,frc1370,frc3283,frc2913,3,2
2010dc_qm69,frc346,frc1024,frc2377,frc3123,frc2912,frc1915,8,1
2010dc_qm7,frc1712,frc346,frc1529,frc1829,frc612,frc3298,0,0
2010dc_qm70,frc2534,frc623,frc2068,frc2964,frc1418,frc2641,2,3
2010dc_qm71,frc3340,frc339,frc45,frc116,frc1712,frc3208,6,3
2010dc_qm72,frc2010,frc2900,frc612,frc768,frc611,frc1727,6,4
2010dc_qm73,frc2913,frc1123,frc701,frc3283,frc3150,frc1708,0,0
2010dc_qm74,frc207,frc2377,frc620,frc1829,frc1111,frc176,3,0
2010dc_qm75,frc346,frc2421,frc2819,frc449,frc1370,frc48,4,0
2010dc_qm76,frc3246,frc2963,frc1529,frc2363,frc3154,frc1024,3,4
2010dc_qm77,frc3373,frc614,frc1849,frc3279,frc2537,frc3298,3,1
2010dc_qm78,frc2914,frc3123,frc1885,frc1446,frc1900,frc2961,3,0
2010dc_qm79,frc2912,frc2911,frc45,frc2962,frc2121,frc207,7,1
2010dc_qm8,frc1727,frc1708,frc1849,frc2363,frc2819,frc45,0,1
2010dc_qm80,frc2819,frc2641,frc3283,frc620,frc2900,frc1712,3,1
2010dc_qm81,frc1111,frc1915,frc1529,frc2964,frc701,frc768,2,1
2010dc_qm82,frc612,frc3154,frc2534,frc623,frc48,frc614,0,1
2010dc_qm83,frc2914,frc2961,frc3208,frc1849,frc346,frc2537,0,5
2010dc_qm84,frc449,frc3279,frc3340,frc611,frc1024,frc176,0,5
2010dc_qm85,frc1418,frc2913,frc1708,frc3373,frc1446,frc2912,0,6
2010dc_qm86,frc1727,frc1885,frc1900,frc1370,frc2962,frc3246,8,0
2010dc_qm87,frc2421,frc339,frc3298,frc2010,frc2963,frc2377,4,1
2010dc_qm88,frc2363,frc116,frc3150,frc1829,frc3123,frc2911,0,5
2010dc_qm89,frc1123,frc2121,frc612,frc2068,frc2914,frc1024,0,2
2010dc_qm9,frc3279,frc1446,frc1123,frc2963,frc2911,frc2900,0,0
2010dc_sf1m1,frc3123,frc176,frc1727,frc2912,frc449,frc2068,7,2
2010dc_sf1m2,frc176,frc3123,frc1727,frc2912,frc449,frc2068,0,2
2010dc_sf1m3,frc3123,frc176,frc1727,frc2912,frc2068,frc449,5,4
2010dc_sf2m1,frc768,frc339,frc1885,frc2377,frc346,frc1418,2,3
2010dc_sf2m2,frc339,frc1885,frc768,frc346,frc1418,frc2377,0,2
