Rank,Team,Played,Seeding Score,Coopertition Bonus,Hanging Points
1,294,10,288.00,142.00,4.00
2,67,10,276.00,124.00,10.00
3,1718,10,250.00,98.00,18.00
4,16,10,237.00,80.00,10.00
5,1592,10,236.00,98.00,8.00
6,2137,10,230.00,82.00,4.00
7,2757,10,226.00,100.00,4.00
8,910,10,226.00,80.00,4.00
9,1922,10,225.00,90.00,6.00
10,1868,10,223.00,90.00,4.00
11,308,10,222.00,96.00,0
12,706,10,222.00,78.00,10.00
13,337,10,221.00,76.00,18.00
14,2619,9,220.00,94.00,8.00
15,343,10,214.00,68.00,20.00
16,1902,10,214.00,68.00,16.00
17,525,10,213.00,60.00,24.00
18,829,10,212.00,94.00,10.00
19,971,10,208.00,76.00,4.00
20,399,10,204.00,94.00,6.00
21,20,10,204.00,78.00,2.00
22,3168,10,204.00,72.00,4.00
23,1073,10,204.00,68.00,4.00
24,668,10,202.00,82.00,2.00
25,93,10,201.00,82.00,3.00
26,2771,10,192.00,68.00,4.00
27,486,10,187.00,64.00,6.00
28,842,10,185.00,60.00,8.00
29,585,10,184.00,68.00,6.00
30,226,10,183.00,72.00,8.00
31,2415,9,182.00,56.00,4.00
32,1208,10,176.00,52.00,14.00
33,2614,10,174.00,64.00,10.00
34,2265,10,174.00,50.00,8.00
35,102,10,173.00,52.00,4.00
36,3083,10,167.00,74.00,6.00
37,3038,10,167.00,56.00,10.00
38,558,10,166.00,58.00,20.00
39,3176,10,166.00,56.00,6.00
40,1311,10,165.00,44.00,4.00
41,177,10,164.00,56.00,2.00
42,2465,10,164.00,52.00,16.00
43,3125,10,163.00,50.00,6.00
44,868,10,160.00,58.00,4.00
45,461,10,157.00,46.00,8.00
46,3128,10,155.00,58.00,2.00
47,281,10,154.00,48.00,0
48,1551,10,153.00,60.00,16.00
49,932,10,151.00,36.00,4.00
50,166,10,149.00,36.00,4.00
51,3123,10,149.00,34.00,2.00
52,3161,10,148.00,46.00,8.00
53,2377,10,148.00,44.00,8.00
54,178,10,148.00,42.00,4.00
55,612,10,143.00,48.00,16.00
56,2497,10,143.00,42.00,6.00
57,1727,10,142.00,46.00,11.00
58,3231,10,141.00,44.00,14.00
59,11,10,140.00,32.00,6.00
60,151,10,138.00,24.00,14.00
61,3238,10,137.00,28.00,2.00
62,772,10,136.00,40.00,4.00
63,3306,10,134.00,28.00,4.00
64,120,9,132.00,46.00,6.00
65,1296,10,132.00,36.00,6.00
66,533,10,131.00,38.00,6.00
67,2506,10,130.00,24.00,2.00
68,647,10,129.00,42.00,8.00
69,2534,10,129.00,34.00,12.00
70,801,10,126.00,40.00,6.00
71,125,10,125.00,24.00,16.00
72,1452,9,124.00,32.00,4.00
73,2341,10,119.00,28.00,6.00
74,128,9,119.00,28.00,2.00
75,2669,7,118.00,38.00,6.00
76,2102,10,109.00,12.00,1.00
77,2914,8,108.00,32.00,2.00
78,2164,10,106.00,12.00,4.00
79,2638,10,105.00,30.00,2.00
80,2895,8,101.00,24.00,2.00
81,342,10,98.00,4.00,2.00
82,117,10,96.00,14.00,4.00
83,116,10,96.00,0,4.00
84,2424,8,91.00,14.00,2.00
85,896,6,87.00,16.00,2.00
86,2023,6,66.00,14.00,6.00
