Rank,Team,Played,Seeding Score,Coopertition Bonus,Hanging Points
1,2543,10,102.00,60.00,2.00
2,1266,10,92.00,60.00,4.00
3,687,10,89.00,42.00,2.00
4,359,10,88.00,48.00,0
5,100,10,87.00,40.00,8.00
6,1538,10,79.00,26.00,2.00
7,812,10,76.00,30.00,0
8,599,9,75.00,28.00,16.00
9,1332,10,68.00,26.00,2.00
10,1572,10,68.00,14.00,4.00
11,691,10,66.00,38.00,0
12,2437,10,65.00,24.00,4.00
13,1138,10,65.00,24.00,0
14,2658,10,63.00,16.00,2.00
15,1717,10,62.00,22.00,10.00
16,3226,9,61.00,34.00,0
17,1868,10,61.00,26.00,2.00
18,1388,10,61.00,18.00,8.00
19,1070,9,60.00,28.00,2.00
20,2029,9,60.00,20.00,4.00
21,1972,10,57.00,22.00,0
22,1622,10,57.00,14.00,2.00
23,3021,10,56.00,24.00,0
24,2839,10,56.00,20.00,0
25,1197,9,55.00,22.00,0
26,192,10,54.00,14.00,2.00
27,357,10,53.00,26.00,4.00
28,3041,10,53.00,22.00,0
29,568,9,53.00,12.00,4.00
30,668,10,52.00,20.00,2.00
31,846,10,51.00,10.00,6.00
32,2493,9,49.00,16.00,0
33,294,10,48.00,8.00,2.00
34,115,9,45.00,12.00,0
35,1160,10,44.00,12.00,0
36,3195,10,43.00,8.00,0
37,2827,10,43.00,6.00,2.00
38,2339,10,41.00,14.00,2.00
39,2102,10,41.00,12.00,2.00
40,2984,10,40.00,16.00,0
41,2193,9,40.00,12.00,4.00
42,981,8,40.00,10.00,2.00
43,3341,10,39.00,6.00,0
44,3255,8,38.00,18.00,2.00
45,3128,9,37.00,10.00,2.00
46,696,9,37.00,6.00,0
47,815,8,34.00,10.00,2.00
48,2485,9,34.00,6.00,0
49,1372,10,29.00,2.00,4.00
