2011is_0,Regional Chairman's Award,frc1942,
2011is_1,Winner,frc1574,
2011is_1,Winner,frc1690,
2011is_1,Winner,frc3351,
2011is_10,Rookie All Star Award,frc3766,
2011is_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc2212,
2011is_13,Judges Award,frc3075,
2011is_14,Highest Rookie Seed,frc3766,
2011is_15,Rookie Inspiration Award,frc3774,
2011is_16,Industrial Design sponsored by General Motors,frc2230,
2011is_17,Quality Award sponsored by Motorola,frc3083,
2011is_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc1937,
2011is_2,Finalist,frc2230,
2011is_2,Finalist,frc1657,
2011is_2,Finalist,frc3388,
2011is_20,Creativity Award sponsored by Xerox,frc1690,
2011is_21,Engineering Excellence Award sponsored by Delphi,frc1937,
2011is_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc3339,
2011is_27,Imagery Award in honor of Jack Kamen,frc3388,
2011is_29,Innovation in Control Award sponsored by Rockwell Automation,frc1662,
2011is_3,Woodie Flowers Award,frc1946,Mohamed Abu-Fawdah
2011is_30,Team Spirit Award sponsored by Chrysler,frc3368,
2011is_31,Website Award,frc2212,
2011is_4,FIRST Dean's List Finalist Award,frc1943,Lior Milo
2011is_4,FIRST Dean's List Finalist Award,frc2230,Yaniv Gutman
2011is_5,Outstanding Volunteer of the Year,,Shahar Givol
2011is_9,Engineering Inspiration,frc3358,
