Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,254,10,0,0,10,20.00,39.50
2,1538,9,1,0,10,18.00,34.90
3,1323,8,2,0,10,16.00,24.40
4,2141,8,2,0,10,16.00,24.20
5,670,8,2,0,10,16.00,20.10
6,1868,7,1,1,9,15.00,27.30
7,971,7,3,0,10,14.00,36.20
8,256,7,3,0,10,14.00,23.40
9,2473,7,3,0,10,14.00,22.20
10,2159,7,1,0,8,14.00,19.30
11,2456,7,1,0,8,14.00,17.90
12,604,6,3,1,10,13.00,29.20
13,295,6,3,1,10,13.00,29.10
14,115,6,4,0,10,12.00,24.60
15,114,6,3,0,9,12.00,21.90
16,2035,6,3,0,9,12.00,12.90
17,3256,5,4,1,10,11.00,29.80
18,691,5,3,1,9,11.00,26.70
19,1622,5,5,0,10,10.00,30.20
20,701,5,5,0,10,10.00,27.10
21,192,5,5,0,10,10.00,23.80
22,3022,5,5,0,10,10.00,19.50
23,1662,5,2,0,7,10.00,19.40
24,3501,5,5,0,10,10.00,15.40
25,1700,4,3,2,9,10.00,14.00
26,1280,4,5,1,10,9.00,37.40
27,852,4,5,1,10,9.00,30.90
28,692,4,5,1,10,9.00,21.80
29,649,4,5,1,10,9.00,15.40
30,2144,4,4,1,9,9.00,11.60
31,846,4,5,0,9,8.00,31.40
32,1351,4,6,0,10,8.00,29.30
33,2813,4,6,0,10,8.00,27.40
34,3717,4,6,0,10,8.00,24.10
35,2367,3,5,2,10,8.00,23.90
36,3482,4,6,0,10,8.00,22.00
37,581,4,6,0,10,8.00,18.50
38,751,4,5,0,9,8.00,18.20
39,766,4,6,0,10,8.00,16.50
40,1458,4,5,0,9,8.00,14.10
41,668,3,6,1,10,7.00,22.30
42,3045,3,5,1,9,7.00,20.20
43,2854,3,5,1,9,7.00,14.70
44,1967,3,7,0,10,6.00,17.80
45,100,3,7,0,10,6.00,16.10
46,1516,3,7,0,10,6.00,14.10
47,3505,2,6,1,9,5.00,17.40
48,253,2,5,1,8,5.00,7.90
49,812,2,7,0,9,4.00,22.60
50,675,2,7,0,9,4.00,22.10
51,2135,2,7,0,9,4.00,15.00
52,3503,2,6,0,8,4.00,13.90
53,1072,2,8,0,10,4.00,13.80
54,8,2,7,0,9,4.00,9.40
55,2489,1,6,1,8,3.00,12.70
56,2643,1,7,0,8,2.00,21.50
