Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,16,9,0,0,9,18.00,16.44
2,2848,8,0,1,9,17.00,13.00
3,118,8,1,0,9,16.00,10.66
4,1429,7,2,0,9,14.00,13.33
5,148,7,1,0,8,14.00,11.33
6,2583,6,2,1,9,13.00,21.11
7,2936,6,2,1,9,13.00,8.22
8,2789,6,2,1,9,13.00,1.44
9,245,6,3,0,9,12.00,17.44
10,1477,6,2,0,8,12.00,11.66
11,3582,5,1,2,8,12.00,0.44
12,2415,5,2,1,8,11.00,18.11
13,2158,5,3,1,9,11.00,15.00
14,3847,5,3,1,9,11.00,10.33
15,3240,5,2,1,8,11.00,9.33
16,2952,4,2,3,9,11.00,6.22
17,3614,3,1,5,9,11.00,6.00
18,3417,4,2,3,9,11.00,1.55
19,2587,5,4,0,9,10.00,17.55
20,2468,6,3,0,9,10.00,8.88
21,3561,4,2,2,8,10.00,7.55
22,3478,3,1,4,8,10.00,5.33
23,922,5,4,0,9,10.00,4.66
24,3366,3,2,4,9,10.00,4.33
25,3808,3,2,3,8,9.00,10.66
26,3679,4,4,1,9,9.00,7.00
27,1642,3,2,3,8,9.00,4.55
28,3103,3,2,3,8,9.00,4.44
29,2985,3,3,3,9,9.00,4.11
30,3529,3,3,3,9,9.00,3.55
31,2841,3,1,3,7,9.00,1.11
32,1296,4,5,0,9,8.00,16.11
33,3325,3,4,2,9,8.00,11.33
34,457,3,4,2,9,8.00,9.11
35,2721,3,4,2,9,8.00,8.55
36,499,3,4,2,9,8.00,5.11
37,57,4,5,0,9,8.00,4.77
38,3820,3,3,2,8,8.00,4.66
39,2966,2,1,4,7,8.00,4.44
40,3583,2,3,4,9,8.00,3.44
41,2745,3,4,2,9,8.00,2.66
42,3552,2,2,2,6,8.00,1.00
43,3725,2,3,3,8,7.00,5.88
44,653,3,2,1,6,7.00,5.88
45,231,3,5,1,9,7.00,3.77
46,2787,2,2,3,7,7.00,2.77
47,3028,2,3,3,8,7.00,1.88
48,2843,2,4,2,8,6.00,3.88
49,2982,1,4,4,9,6.00,3.11
50,3545,2,4,2,8,6.00,0.88
51,2947,2,5,1,8,5.00,8.33
52,3743,2,6,1,9,5.00,7.33
53,3778,2,5,1,8,5.00,4.11
54,3481,1,5,2,8,4.00,2.77
55,3305,0,5,4,9,4.00,2.44
56,2880,1,5,2,8,4.00,2.22
57,3035,1,4,2,7,4.00,0
58,2969,1,6,1,8,3.00,4.11
59,3700,1,4,1,6,3.00,2.66
60,3343,1,1,1,3,3.00,2.00
61,647,0,6,2,8,2.00,4.33
62,3608,0,5,1,6,1.00,9.00
63,3029,0,6,1,7,1.00,8.00
64,3345,0,7,1,8,1.00,3.66
