Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,2337,31.00,130.00,30.00,65.00,14,8-3-1,0,12
2,51,28.00,101.00,90.00,81.00,10,9-3-0,0,12
3,862,26.00,42.00,90.00,110.00,8,9-3-0,0,12
4,3322,25.00,143.00,30.00,131.00,6,9-1-1,1,12
5,1684,24.00,72.00,60.00,67.00,10,7-5-0,0,12
6,3537,24.00,24.00,40.00,92.00,6,9-3-0,0,12
7,3568,23.00,29.00,110.00,62.00,2,10-1-1,0,12
8,1504,23.00,18.00,40.00,166.00,6,8-3-1,0,12
9,1711,22.00,30.00,80.00,58.00,4,8-2-2,0,12
10,3536,21.00,48.00,50.00,66.00,8,6-5-1,0,12
11,33,21.00,12.00,120.00,95.00,6,7-4-1,0,12
12,1322,20.00,35.00,70.00,67.00,10,5-7-0,0,12
13,314,20.00,30.00,60.00,98.00,4,8-4-0,0,12
14,70,19.00,83.00,60.00,51.00,6,6-5-1,0,12
15,3415,19.00,60.00,70.00,62.00,4,7-4-1,0,12
16,494,18.00,40.00,40.00,80.00,4,6-4-2,0,12
17,2604,18.00,39.00,20.00,64.00,8,5-7-0,0,12
18,4382,18.00,18.00,20.00,66.00,4,7-4-0,1,12
19,4376,17.00,28.00,70.00,49.00,6,5-6-1,0,12
20,302,16.00,70.00,40.00,44.00,6,5-7-0,0,12
21,1506,16.00,35.00,80.00,85.00,6,5-7-0,0,12
22,894,16.00,6.00,60.00,43.00,4,6-6-0,0,12
23,3302,15.00,40.00,60.00,79.00,4,5-6-1,0,12
24,4294,15.00,29.00,80.00,44.00,2,6-5-1,0,12
25,3534,15.00,18.00,60.00,51.00,8,3-8-1,0,12
26,2137,14.00,72.00,60.00,70.00,4,5-7-0,0,12
27,1701,13.00,22.00,30.00,57.00,4,4-7-1,0,12
28,1243,12.00,65.00,20.00,62.00,4,4-8-0,0,12
29,3535,12.00,55.00,10.00,28.00,6,3-9-0,0,12
30,703,12.00,50.00,10.00,51.00,6,2-8-2,0,12
31,2611,12.00,30.00,20.00,35.00,4,4-8-0,0,12
32,468,12.00,23.00,20.00,55.00,0,6-6-0,0,12
33,3601,11.00,36.00,80.00,25.00,2,3-6-3,0,12
34,3421,11.00,30.00,40.00,51.00,4,3-8-1,0,12
35,1502,10.00,40.00,60.00,33.00,2,4-8-0,0,12
36,2627,10.00,10.00,40.00,21.00,4,3-7-0,2,12
37,326,8.00,31.00,10.00,77.00,6,1-11-0,0,12
38,322,6.00,36.00,30.00,40.00,2,2-8-0,2,12
39,3769,3.00,18.00,20.00,26.00,0,1-4-1,6,12
