2012migl_0,Regional Chairman's Award,frc85,
2012migl_1,Regional Winners,frc4327,
2012migl_1,Regional Winners,frc1918,
2012migl_1,Regional Winners,frc85,
2012migl_1,Regional Winners,frc1677,
2012migl_10,Rookie All Star Award,frc4362,
2012migl_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc1528,
2012migl_12,Coopertition Award,frc4389,
2012migl_13,Judges' Award,frc247,
2012migl_14,Highest Rookie Seed,frc4377,
2012migl_15,Rookie Inspiration Award,frc4408,
2012migl_16,Industrial Design Award sponsored by General Motors,frc1918,
2012migl_17,Quality Award sponsored by Motorola,frc3452,
2012migl_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc2405,
2012migl_2,Regional Finalists,frc2959,
2012migl_2,Regional Finalists,frc2767,
2012migl_2,Regional Finalists,frc4368,
2012migl_20,Creativity Award sponsored by Xerox,frc2000,
2012migl_21,Engineering Excellence Award sponsored by Delphi,frc3618,
2012migl_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc2959,
2012migl_27,Imagery Award in honor of Jack Kamen,frc2246,
2012migl_29,Innovation in Control Award sponsored by Rockwell Automation,frc2767,
2012migl_30,Team Spirit Award sponsored by Chrysler,frc2771,
2012migl_31,Website Award,frc247,
2012migl_9,Engineering Inspiration Award,frc123,
